[2026-05-19 02:00:43] Initialized ContinuousLogger for representation_ae_depth_to_width (Mode: ae_depth_to_width)
[2026-05-19 02:00:43] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_depth_to_width/cand_000_d1_w1/training_log.txt
[2026-05-19 02:00:43] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_depth_to_width/cand_000_d1_w1/training_stats.csv
[2026-05-19 02:00:43] [CANDIDATE] task=representation phase=ae_depth_to_width index=0 search_phase=depth architecture=[1]
[2026-05-19 02:02:18] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=35 architecture=[1] train_loss=1.133141 val_loss=1.129951 best=1.129951 es=0/5
[2026-05-19 02:02:20] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=36 architecture=[1] train_loss=1.128022 val_loss=1.125256 best=1.125256 es=0/5
[2026-05-19 02:02:22] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=37 architecture=[1] train_loss=1.123100 val_loss=1.120246 best=1.120246 es=0/5
[2026-05-19 02:02:25] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=38 architecture=[1] train_loss=1.118290 val_loss=1.115709 best=1.115709 es=0/5
[2026-05-19 02:02:27] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=39 architecture=[1] train_loss=1.113598 val_loss=1.110984 best=1.110984 es=0/5
[2026-05-19 02:02:30] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=40 architecture=[1] train_loss=1.109047 val_loss=1.106791 best=1.106791 es=0/5
[2026-05-19 02:02:33] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=41 architecture=[1] train_loss=1.104683 val_loss=1.102455 best=1.102455 es=0/5
[2026-05-19 02:02:35] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=42 architecture=[1] train_loss=1.100482 val_loss=1.098448 best=1.098448 es=0/5
[2026-05-19 02:02:37] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=43 architecture=[1] train_loss=1.096435 val_loss=1.094645 best=1.094645 es=0/5
[2026-05-19 02:02:40] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=44 architecture=[1] train_loss=1.092460 val_loss=1.090383 best=1.090383 es=0/5
[2026-05-19 02:02:43] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=45 architecture=[1] train_loss=1.088503 val_loss=1.086271 best=1.086271 es=0/5
[2026-05-19 02:02:46] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=46 architecture=[1] train_loss=1.083794 val_loss=1.079169 best=1.079169 es=0/5
[2026-05-19 02:02:48] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=47 architecture=[1] train_loss=1.076795 val_loss=1.071737 best=1.071737 es=0/5
[2026-05-19 02:02:50] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=48 architecture=[1] train_loss=1.070512 val_loss=1.067292 best=1.067292 es=0/5
[2026-05-19 02:02:53] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=49 architecture=[1] train_loss=1.065617 val_loss=1.063648 best=1.063648 es=0/5
[2026-05-19 02:02:55] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=50 architecture=[1] train_loss=1.061443 val_loss=1.059428 best=1.059428 es=0/5
[2026-05-19 02:02:58] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=51 architecture=[1] train_loss=1.057603 val_loss=1.055722 best=1.055722 es=0/5
[2026-05-19 02:03:00] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=52 architecture=[1] train_loss=1.053912 val_loss=1.052123 best=1.052123 es=0/5
[2026-05-19 02:03:02] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=53 architecture=[1] train_loss=1.050421 val_loss=1.048524 best=1.048524 es=0/5
[2026-05-19 02:03:04] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=54 architecture=[1] train_loss=1.047054 val_loss=1.045418 best=1.045418 es=0/5
[2026-05-19 02:03:07] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=55 architecture=[1] train_loss=1.043856 val_loss=1.042137 best=1.042137 es=0/5
[2026-05-19 02:03:09] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=56 architecture=[1] train_loss=1.040786 val_loss=1.039500 best=1.039500 es=0/5
[2026-05-19 02:03:11] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=57 architecture=[1] train_loss=1.037886 val_loss=1.036572 best=1.036572 es=0/5
[2026-05-19 02:03:13] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=58 architecture=[1] train_loss=1.035082 val_loss=1.033864 best=1.033864 es=0/5
[2026-05-19 02:03:16] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=59 architecture=[1] train_loss=1.032398 val_loss=1.031125 best=1.031125 es=0/5
[2026-05-19 02:03:18] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=60 architecture=[1] train_loss=1.029835 val_loss=1.028730 best=1.028730 es=0/5
[2026-05-19 02:03:20] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=61 architecture=[1] train_loss=1.027418 val_loss=1.026377 best=1.026377 es=0/5
[2026-05-19 02:03:23] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=62 architecture=[1] train_loss=1.025065 val_loss=1.024166 best=1.024166 es=0/5
[2026-05-19 02:03:25] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=63 architecture=[1] train_loss=1.022805 val_loss=1.021992 best=1.021992 es=0/5
[2026-05-19 02:03:27] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=64 architecture=[1] train_loss=1.020666 val_loss=1.019744 best=1.019744 es=0/5
[2026-05-19 02:03:30] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=65 architecture=[1] train_loss=1.018591 val_loss=1.017776 best=1.017776 es=0/5
