[2026-06-13 20:36:39] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-13 20:36:39] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_162_d3_w81/training_log.txt
[2026-06-13 20:36:39] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_162_d3_w81/training_stats.csv
[2026-06-13 20:36:51] Epoch 1 | architecture=[81, 81, 1] train_loss=0.651484 val_loss=0.802051 best=0.802051 es=0/10
[2026-06-13 20:36:51] Epoch 1 | architecture=[81, 81, 1] train_loss=0.642237 val_loss=0.775780 best=0.775780 es=0/10
[2026-06-13 20:36:51] Epoch 1 | architecture=[81, 81, 1] train_loss=0.635136 val_loss=0.756908 best=0.756908 es=0/10
[2026-06-13 20:36:52] Epoch 1 | architecture=[81, 81, 1] train_loss=0.628954 val_loss=0.800308 best=0.800308 es=0/10
[2026-06-13 20:36:52] Epoch 1 | architecture=[81, 81, 1] train_loss=0.613603 val_loss=0.752077 best=0.752077 es=0/10
[2026-06-13 20:36:52] Epoch 1 | architecture=[81, 81, 1] train_loss=0.601047 val_loss=0.726918 best=0.726918 es=0/10
[2026-06-13 20:36:52] Epoch 1 | architecture=[81, 81, 1] train_loss=0.594763 val_loss=0.787298 best=0.787298 es=0/10
[2026-06-13 20:36:53] Epoch 1 | architecture=[81, 81, 1] train_loss=0.585876 val_loss=0.677002 best=0.677002 es=0/10
[2026-06-13 20:36:53] Epoch 1 | architecture=[81, 81, 1] train_loss=0.576807 val_loss=0.707466 best=0.707466 es=0/10
[2026-06-13 20:36:53] Epoch 1 | architecture=[81, 81, 1] train_loss=0.569964 val_loss=0.700242 best=0.700242 es=0/10
[2026-06-13 20:36:53] Epoch 1 | architecture=[81, 81, 1] train_loss=0.558425 val_loss=0.665508 best=0.665508 es=0/10
[2026-06-13 20:36:53] Epoch 1 | architecture=[81, 81, 1] train_loss=0.550843 val_loss=0.677809 best=0.677809 es=0/10
[2026-06-13 20:36:54] Epoch 1 | architecture=[81, 81, 1] train_loss=0.542693 val_loss=0.691117 best=0.691117 es=0/10
[2026-06-13 20:36:54] Epoch 1 | architecture=[81, 81, 1] train_loss=0.535595 val_loss=0.648076 best=0.648076 es=0/10
[2026-06-13 20:36:54] Epoch 1 | architecture=[81, 81, 1] train_loss=0.523865 val_loss=0.650147 best=0.650147 es=0/10
[2026-06-13 20:36:54] Epoch 1 | architecture=[81, 81, 1] train_loss=0.520590 val_loss=0.598173 best=0.598173 es=0/10
[2026-06-13 20:36:54] Epoch 1 | architecture=[81, 81, 1] train_loss=0.510890 val_loss=0.654990 best=0.654990 es=0/10
[2026-06-13 20:36:55] Epoch 1 | architecture=[81, 81, 1] train_loss=0.505688 val_loss=0.612780 best=0.612780 es=0/10
[2026-06-13 20:36:55] Epoch 1 | architecture=[81, 81, 1] train_loss=0.502830 val_loss=0.577755 best=0.577755 es=0/10
[2026-06-13 20:36:55] Epoch 1 | architecture=[81, 81, 1] train_loss=0.490537 val_loss=0.634749 best=0.634749 es=0/10
[2026-06-13 20:36:55] Epoch 1 | architecture=[81, 81, 1] train_loss=0.487405 val_loss=0.569821 best=0.569821 es=0/10
[2026-06-13 20:36:55] Epoch 1 | architecture=[81, 81, 1] train_loss=0.481582 val_loss=0.561831 best=0.561831 es=0/10
[2026-06-13 20:36:56] Epoch 1 | architecture=[81, 81, 1] train_loss=0.474701 val_loss=0.575585 best=0.575585 es=0/10
[2026-06-13 20:36:56] Epoch 1 | architecture=[81, 81, 1] train_loss=0.470362 val_loss=0.569835 best=0.569835 es=0/10
[2026-06-13 20:36:56] Epoch 1 | architecture=[81, 81, 1] train_loss=0.460701 val_loss=0.528933 best=0.528933 es=0/10
[2026-06-13 20:36:56] Epoch 1 | architecture=[81, 81, 1] train_loss=0.455657 val_loss=0.555954 best=0.555954 es=0/10
[2026-06-13 20:36:56] Epoch 1 | architecture=[81, 81, 1] train_loss=0.455178 val_loss=0.552799 best=0.552799 es=0/10
[2026-06-13 20:36:57] Epoch 1 | architecture=[81, 81, 1] train_loss=0.443154 val_loss=0.496718 best=0.496718 es=0/10
[2026-06-13 20:36:57] Epoch 1 | architecture=[81, 81, 1] train_loss=0.441082 val_loss=0.516784 best=0.516784 es=0/10
[2026-06-13 20:36:57] Epoch 1 | architecture=[81, 81, 1] train_loss=0.433232 val_loss=0.529179 best=0.529179 es=0/10
[2026-06-13 20:36:57] Epoch 1 | architecture=[81, 81, 1] train_loss=0.427145 val_loss=0.506397 best=0.506397 es=0/10
[2026-06-13 20:36:57] Epoch 1 | architecture=[81, 81, 1] train_loss=0.423877 val_loss=0.482007 best=0.482007 es=0/10
[2026-06-13 20:36:57] Epoch 1 | architecture=[81, 81, 1] train_loss=0.417764 val_loss=0.501038 best=0.501038 es=0/10
[2026-06-13 20:36:58] Epoch 1 | architecture=[81, 81, 1] train_loss=0.409881 val_loss=0.471749 best=0.471749 es=0/10
[2026-06-13 20:36:58] Epoch 1 | architecture=[81, 81, 1] train_loss=0.407966 val_loss=0.492635 best=0.492635 es=0/10
[2026-06-13 20:36:58] Epoch 1 | architecture=[81, 81, 1] train_loss=0.402363 val_loss=0.458548 best=0.458548 es=0/10
[2026-06-13 20:36:58] Epoch 1 | architecture=[81, 81, 1] train_loss=0.394863 val_loss=0.496595 best=0.496595 es=0/10
[2026-06-13 20:36:58] Epoch 1 | architecture=[81, 81, 1] train_loss=0.390997 val_loss=0.446194 best=0.446194 es=0/10
[2026-06-13 20:36:59] Epoch 1 | architecture=[81, 81, 1] train_loss=0.387330 val_loss=0.476330 best=0.476330 es=0/10
[2026-06-13 20:36:59] Epoch 1 | architecture=[81, 81, 1] train_loss=0.383714 val_loss=0.438970 best=0.438970 es=0/10
[2026-06-13 20:36:59] Epoch 1 | architecture=[81, 81, 1] train_loss=0.377597 val_loss=0.456896 best=0.456896 es=0/10
[2026-06-13 20:36:59] Epoch 1 | architecture=[81, 81, 1] train_loss=0.372013 val_loss=0.427879 best=0.427879 es=0/10
[2026-06-13 20:36:59] Epoch 1 | architecture=[81, 81, 1] train_loss=0.370187 val_loss=0.425192 best=0.425192 es=0/10
[2026-06-13 20:37:00] Epoch 1 | architecture=[81, 81, 1] train_loss=0.362720 val_loss=0.445296 best=0.445296 es=0/10
[2026-06-13 20:37:00] Epoch 1 | architecture=[81, 81, 1] train_loss=0.360906 val_loss=0.406603 best=0.406603 es=0/10
[2026-06-13 20:37:00] Epoch 1 | architecture=[81, 81, 1] train_loss=0.355582 val_loss=0.428116 best=0.428116 es=0/10
[2026-06-13 20:37:00] Epoch 1 | architecture=[81, 81, 1] train_loss=0.353909 val_loss=0.433224 best=0.433224 es=0/10
[2026-06-13 20:37:00] Epoch 1 | architecture=[81, 81, 1] train_loss=0.347217 val_loss=0.390089 best=0.390089 es=0/10
[2026-06-13 20:37:00] Epoch 1 | architecture=[81, 81, 1] train_loss=0.348691 val_loss=0.393164 best=0.393164 es=0/10
[2026-06-13 20:37:00] Epoch 1 | architecture=[81, 81, 1] train_loss=0.343012 val_loss=0.415213 best=0.415213 es=0/10
[2026-06-13 20:37:01] Epoch 1 | architecture=[81, 81, 1] train_loss=0.338615 val_loss=0.400705 best=0.400705 es=0/10
[2026-06-13 20:37:01] Epoch 1 | architecture=[81, 81, 1] train_loss=0.333251 val_loss=0.395015 best=0.395015 es=0/10
[2026-06-13 20:37:01] Epoch 1 | architecture=[81, 81, 1] train_loss=0.331439 val_loss=0.369739 best=0.369739 es=0/10
[2026-06-13 20:37:01] Epoch 1 | architecture=[81, 81, 1] train_loss=0.326280 val_loss=0.387237 best=0.387237 es=0/10
[2026-06-13 20:37:01] Epoch 1 | architecture=[81, 81, 1] train_loss=0.323516 val_loss=0.376891 best=0.376891 es=0/10
[2026-06-13 20:37:01] Epoch 1 | architecture=[81, 81, 1] train_loss=0.319592 val_loss=0.376075 best=0.376075 es=0/10
[2026-06-13 20:37:02] Epoch 1 | architecture=[81, 81, 1] train_loss=0.316407 val_loss=0.362090 best=0.362090 es=0/10
[2026-06-13 20:37:02] Epoch 1 | architecture=[81, 81, 1] train_loss=0.314690 val_loss=0.365618 best=0.365618 es=0/10
[2026-06-13 20:37:02] Epoch 1 | architecture=[81, 81, 1] train_loss=0.311349 val_loss=0.347157 best=0.347157 es=0/10
[2026-06-13 20:37:02] Epoch 1 | architecture=[81, 81, 1] train_loss=0.309923 val_loss=0.377275 best=0.377275 es=0/10
[2026-06-13 20:37:02] Epoch 1 | architecture=[81, 81, 1] train_loss=0.302126 val_loss=0.325396 best=0.325396 es=0/10
[2026-06-13 20:37:03] Epoch 1 | architecture=[81, 81, 1] train_loss=0.306032 val_loss=0.332275 best=0.332275 es=0/10
[2026-06-13 20:37:03] Epoch 1 | architecture=[81, 81, 1] train_loss=0.304380 val_loss=0.383702 best=0.383702 es=0/10
[2026-06-13 20:37:03] Epoch 1 | architecture=[81, 81, 1] train_loss=0.302077 val_loss=0.331429 best=0.331429 es=0/10
[2026-06-13 20:37:03] Epoch 1 | architecture=[81, 81, 1] train_loss=0.297348 val_loss=0.332255 best=0.332255 es=0/10
[2026-06-13 20:37:03] Epoch 1 | architecture=[81, 81, 1] train_loss=0.296156 val_loss=0.336350 best=0.336350 es=0/10
[2026-06-13 20:37:04] Epoch 1 | architecture=[81, 81, 1] train_loss=0.294997 val_loss=0.335819 best=0.335819 es=0/10
[2026-06-13 20:37:04] Epoch 1 | architecture=[81, 81, 1] train_loss=0.290351 val_loss=0.332383 best=0.332383 es=0/10
[2026-06-13 20:37:04] Epoch 1 | architecture=[81, 81, 1] train_loss=0.292964 val_loss=0.307146 best=0.307146 es=0/10
[2026-06-13 20:37:04] Epoch 1 | architecture=[81, 81, 1] train_loss=0.286895 val_loss=0.342176 best=0.342176 es=0/10
[2026-06-13 20:37:04] Epoch 1 | architecture=[81, 81, 1] train_loss=0.283546 val_loss=0.307186 best=0.307186 es=0/10
[2026-06-13 20:37:05] Epoch 1 | architecture=[81, 81, 1] train_loss=0.279717 val_loss=0.313879 best=0.313879 es=0/10
[2026-06-13 20:37:05] Epoch 1 | architecture=[81, 81, 1] train_loss=0.281425 val_loss=0.308283 best=0.308283 es=0/10
[2026-06-13 20:37:05] Epoch 1 | architecture=[81, 81, 1] train_loss=0.277471 val_loss=0.296801 best=0.296801 es=0/10
[2026-06-13 20:37:05] Epoch 1 | architecture=[81, 81, 1] train_loss=0.278213 val_loss=0.291188 best=0.291188 es=0/10
[2026-06-13 20:37:05] Epoch 1 | architecture=[81, 81, 1] train_loss=0.272263 val_loss=0.312330 best=0.312330 es=0/10
[2026-06-13 20:37:05] Epoch 1 | architecture=[81, 81, 1] train_loss=0.281852 val_loss=0.314598 best=0.314598 es=0/10
[2026-06-13 20:37:06] Epoch 1 | architecture=[81, 81, 1] train_loss=0.271806 val_loss=0.292766 best=0.292766 es=0/10
[2026-06-13 20:37:06] Epoch 1 | architecture=[81, 81, 1] train_loss=0.277365 val_loss=0.301399 best=0.301399 es=0/10
[2026-06-13 20:37:06] Epoch 1 | architecture=[81, 81, 1] train_loss=0.273756 val_loss=0.305686 best=0.305686 es=0/10
