task,phase,phase_type,best_val,best_epoch,final_epoch,test_loss,test_acc,best_checkpoint,candidate_dir
representation,ae_depth_to_width,depth_to_width,0.08750509213577258,6,6,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_depth_to_width/cand_922_d10_w93/checkpoint_best.pt,cand_922_d10_w93
representation,stl_from_ae_depth_to_width,stl_refit,0.16479575640055377,60,65,0.16542206570534052,0.9358530834236932,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/stl_from_ae_depth_to_width/cand_000_d10_w93/checkpoint_best.pt,cand_000_d10_w93
autoencoding,ae_alt_depth,alt_depth,0.0019027519011730251,4,4,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_depth/cand_531_d6_w89/checkpoint_best.pt,cand_531_d6_w89
autoencoding,stl_from_ae_alt_depth,stl_refit,0.013283320477495891,55,60,0.016220534051837102,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_depth/cand_000_d6_w89/checkpoint_best.pt,cand_000_d6_w89
autoencoding,ae_alt_width,alt_width,0.0017266004965750166,10,10,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_082_d1_w83/checkpoint_best.pt,cand_082_d1_w83
autoencoding,stl_from_ae_alt_width,stl_refit,0.0034103280351211124,88,93,0.003825167983984395,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_width/cand_000_d1_w83/checkpoint_best.pt,cand_000_d1_w83
autoencoding,ae_width_to_depth,width_to_depth,0.0014818490814646724,11,11,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_080_d1_w81/checkpoint_best.pt,cand_080_d1_w81
autoencoding,stl_from_ae_width_to_depth,stl_refit,0.0034839527938172305,84,89,0.0037896797777222974,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_width_to_depth/cand_000_d1_w81/checkpoint_best.pt,cand_000_d1_w81
autoencoding,ae_alt_depth,alt_depth,0.0019027519011730251,4,4,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_depth/cand_531_d6_w89/checkpoint_best.pt,cand_531_d6_w89
autoencoding,stl_from_ae_alt_depth,stl_refit,0.013283320477495891,55,60,0.016220534051837102,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_depth/cand_000_d6_w89/checkpoint_best.pt,cand_000_d6_w89
autoencoding,ae_alt_width,alt_width,0.0017266004965750166,10,10,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_082_d1_w83/checkpoint_best.pt,cand_082_d1_w83
autoencoding,stl_from_ae_alt_width,stl_refit,0.0034103280351211124,88,93,0.003825167983984395,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_width/cand_000_d1_w83/checkpoint_best.pt,cand_000_d1_w83
autoencoding,ae_width_to_depth,width_to_depth,0.0014818490814646724,11,11,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_080_d1_w81/checkpoint_best.pt,cand_080_d1_w81
autoencoding,stl_from_ae_width_to_depth,stl_refit,0.0034839527938172305,84,89,0.0037896797777222974,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_width_to_depth/cand_000_d1_w81/checkpoint_best.pt,cand_000_d1_w81
autoencoding,ae_alt_depth,alt_depth,0.0019027519011730251,4,4,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_depth/cand_531_d6_w89/checkpoint_best.pt,cand_531_d6_w89
autoencoding,stl_from_ae_alt_depth,stl_refit,0.013283320477495891,55,60,0.016220534051837102,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_depth/cand_000_d6_w89/checkpoint_best.pt,cand_000_d6_w89
autoencoding,ae_alt_width,alt_width,0.0017266004965750166,10,10,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_082_d1_w83/checkpoint_best.pt,cand_082_d1_w83
autoencoding,stl_from_ae_alt_width,stl_refit,0.0034103280351211124,88,93,0.003825167983984395,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_width/cand_000_d1_w83/checkpoint_best.pt,cand_000_d1_w83
autoencoding,ae_width_to_depth,width_to_depth,0.0014818490814646724,11,11,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_080_d1_w81/checkpoint_best.pt,cand_080_d1_w81
autoencoding,stl_from_ae_width_to_depth,stl_refit,0.0034839527938172305,84,89,0.0037896797777222974,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_width_to_depth/cand_000_d1_w81/checkpoint_best.pt,cand_000_d1_w81
autoencoding,ae_alt_depth,alt_depth,0.0019027519011730251,4,4,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_depth/cand_531_d6_w89/checkpoint_best.pt,cand_531_d6_w89
autoencoding,stl_from_ae_alt_depth,stl_refit,0.013283320477495891,55,60,0.016220534051837102,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_depth/cand_000_d6_w89/checkpoint_best.pt,cand_000_d6_w89
autoencoding,ae_alt_width,alt_width,0.0017266004965750166,10,10,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_082_d1_w83/checkpoint_best.pt,cand_082_d1_w83
autoencoding,stl_from_ae_alt_width,stl_refit,0.0034103280351211124,88,93,0.003825167983984395,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_width/cand_000_d1_w83/checkpoint_best.pt,cand_000_d1_w83
autoencoding,ae_width_to_depth,width_to_depth,0.0014818490814646724,11,11,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_080_d1_w81/checkpoint_best.pt,cand_080_d1_w81
autoencoding,stl_from_ae_width_to_depth,stl_refit,0.0034839527938172305,84,89,0.0037896797777222974,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_width_to_depth/cand_000_d1_w81/checkpoint_best.pt,cand_000_d1_w81
autoencoding,ae_alt_depth,alt_depth,0.0019027519011730251,4,4,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_depth/cand_531_d6_w89/checkpoint_best.pt,cand_531_d6_w89
autoencoding,stl_from_ae_alt_depth,stl_refit,0.013283320477495891,55,60,0.016220534051837102,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_depth/cand_000_d6_w89/checkpoint_best.pt,cand_000_d6_w89
autoencoding,ae_alt_width,alt_width,0.0017266004965750166,10,10,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_082_d1_w83/checkpoint_best.pt,cand_082_d1_w83
autoencoding,stl_from_ae_alt_width,stl_refit,0.0034103280351211124,88,93,0.003825167983984395,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_width/cand_000_d1_w83/checkpoint_best.pt,cand_000_d1_w83
autoencoding,ae_width_to_depth,width_to_depth,0.0014818490814646724,11,11,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_080_d1_w81/checkpoint_best.pt,cand_080_d1_w81
autoencoding,stl_from_ae_width_to_depth,stl_refit,0.0034839527938172305,84,89,0.0037896797777222974,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_width_to_depth/cand_000_d1_w81/checkpoint_best.pt,cand_000_d1_w81
autoencoding,ae_alt_depth,alt_depth,0.0019027519011730251,4,4,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_depth/cand_531_d6_w89/checkpoint_best.pt,cand_531_d6_w89
autoencoding,stl_from_ae_alt_depth,stl_refit,0.013283320477495891,55,60,0.016220534051837102,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_depth/cand_000_d6_w89/checkpoint_best.pt,cand_000_d6_w89
autoencoding,ae_alt_width,alt_width,0.0017266004965750166,10,10,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_082_d1_w83/checkpoint_best.pt,cand_082_d1_w83
autoencoding,stl_from_ae_alt_width,stl_refit,0.0034103280351211124,88,93,0.003825167983984395,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_width/cand_000_d1_w83/checkpoint_best.pt,cand_000_d1_w83
autoencoding,ae_width_to_depth,width_to_depth,0.0014818490814646724,11,11,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_080_d1_w81/checkpoint_best.pt,cand_080_d1_w81
autoencoding,stl_from_ae_width_to_depth,stl_refit,0.0034839527938172305,84,89,0.0037896797777222974,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_width_to_depth/cand_000_d1_w81/checkpoint_best.pt,cand_000_d1_w81
autoencoding,ae_alt_depth,alt_depth,0.0019027519011730251,4,4,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_depth/cand_531_d6_w89/checkpoint_best.pt,cand_531_d6_w89
autoencoding,stl_from_ae_alt_depth,stl_refit,0.013283320477495891,55,60,0.016220534051837102,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_depth/cand_000_d6_w89/checkpoint_best.pt,cand_000_d6_w89
autoencoding,ae_alt_width,alt_width,0.0017266004965750166,10,10,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_082_d1_w83/checkpoint_best.pt,cand_082_d1_w83
autoencoding,stl_from_ae_alt_width,stl_refit,0.0034103280351211124,88,93,0.003825167983984395,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_width/cand_000_d1_w83/checkpoint_best.pt,cand_000_d1_w83
autoencoding,ae_width_to_depth,width_to_depth,0.0014818490814646724,11,11,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_080_d1_w81/checkpoint_best.pt,cand_080_d1_w81
autoencoding,stl_from_ae_width_to_depth,stl_refit,0.0034839527938172305,84,89,0.0037896797777222974,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_width_to_depth/cand_000_d1_w81/checkpoint_best.pt,cand_000_d1_w81
autoencoding,ae_alt_depth,alt_depth,0.0019027519011730251,4,4,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_depth/cand_531_d6_w89/checkpoint_best.pt,cand_531_d6_w89
autoencoding,stl_from_ae_alt_depth,stl_refit,0.013283320477495891,55,60,0.016220534051837102,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_depth/cand_000_d6_w89/checkpoint_best.pt,cand_000_d6_w89
autoencoding,ae_alt_width,alt_width,0.0017266004965750166,10,10,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_082_d1_w83/checkpoint_best.pt,cand_082_d1_w83
autoencoding,stl_from_ae_alt_width,stl_refit,0.0034103280351211124,88,93,0.003825167983984395,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_width/cand_000_d1_w83/checkpoint_best.pt,cand_000_d1_w83
autoencoding,ae_width_to_depth,width_to_depth,0.0014818490814646724,11,11,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_080_d1_w81/checkpoint_best.pt,cand_080_d1_w81
autoencoding,stl_from_ae_width_to_depth,stl_refit,0.0034839527938172305,84,89,0.0037896797777222974,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_width_to_depth/cand_000_d1_w81/checkpoint_best.pt,cand_000_d1_w81
autoencoding,ae_alt_depth,alt_depth,0.0019027519011730251,4,4,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_depth/cand_531_d6_w89/checkpoint_best.pt,cand_531_d6_w89
autoencoding,stl_from_ae_alt_depth,stl_refit,0.013283320477495891,55,60,0.016220534051837102,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_depth/cand_000_d6_w89/checkpoint_best.pt,cand_000_d6_w89
autoencoding,ae_alt_width,alt_width,0.0017266004965750166,10,10,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_082_d1_w83/checkpoint_best.pt,cand_082_d1_w83
autoencoding,stl_from_ae_alt_width,stl_refit,0.0034103280351211124,88,93,0.003825167983984395,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_width/cand_000_d1_w83/checkpoint_best.pt,cand_000_d1_w83
autoencoding,ae_width_to_depth,width_to_depth,0.0014818490814646724,11,11,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_080_d1_w81/checkpoint_best.pt,cand_080_d1_w81
autoencoding,stl_from_ae_width_to_depth,stl_refit,0.0034839527938172305,84,89,0.0037896797777222974,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_width_to_depth/cand_000_d1_w81/checkpoint_best.pt,cand_000_d1_w81
autoencoding,ae_alt_depth,alt_depth,0.0019027519011730251,4,4,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_depth/cand_531_d6_w89/checkpoint_best.pt,cand_531_d6_w89
autoencoding,stl_from_ae_alt_depth,stl_refit,0.013283320477495891,55,60,0.016220534051837102,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_depth/cand_000_d6_w89/checkpoint_best.pt,cand_000_d6_w89
autoencoding,ae_alt_width,alt_width,0.0017266004965750166,10,10,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_082_d1_w83/checkpoint_best.pt,cand_082_d1_w83
autoencoding,stl_from_ae_alt_width,stl_refit,0.0034103280351211124,88,93,0.003825167983984395,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_width/cand_000_d1_w83/checkpoint_best.pt,cand_000_d1_w83
autoencoding,ae_width_to_depth,width_to_depth,0.0014818490814646724,11,11,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_080_d1_w81/checkpoint_best.pt,cand_080_d1_w81
autoencoding,stl_from_ae_width_to_depth,stl_refit,0.0034839527938172305,84,89,0.0037896797777222974,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_width_to_depth/cand_000_d1_w81/checkpoint_best.pt,cand_000_d1_w81
autoencoding,ae_alt_depth,alt_depth,0.0019027519011730251,4,4,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_depth/cand_531_d6_w89/checkpoint_best.pt,cand_531_d6_w89
autoencoding,stl_from_ae_alt_depth,stl_refit,0.013283320477495891,55,60,0.016220534051837102,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_depth/cand_000_d6_w89/checkpoint_best.pt,cand_000_d6_w89
autoencoding,ae_alt_width,alt_width,0.0017266004965750166,10,10,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_082_d1_w83/checkpoint_best.pt,cand_082_d1_w83
autoencoding,stl_from_ae_alt_width,stl_refit,0.0034103280351211124,88,93,0.003825167983984395,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_alt_width/cand_000_d1_w83/checkpoint_best.pt,cand_000_d1_w83
autoencoding,ae_width_to_depth,width_to_depth,0.0014818490814646724,11,11,,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_width_to_depth/cand_080_d1_w81/checkpoint_best.pt,cand_080_d1_w81
autoencoding,stl_from_ae_width_to_depth,stl_refit,0.0034839527938172305,84,89,0.0037896797777222974,,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/stl_from_ae_width_to_depth/cand_000_d1_w81/checkpoint_best.pt,cand_000_d1_w81
