[2026-06-06 14:24:51] Initialized ContinuousLogger for stl_ablation (Mode: stl_ablation)
[2026-06-07 06:32:16] [ABLATION:classification] STL phase start: stl_ablation_r02_d19672_parammatched architecture=[19672]
[2026-06-07 06:46:08] [ABLATION:classification] STL phase start: stl_ablation_r03_d19672_parammatched architecture=[19672]
[2026-06-07 07:06:57] [ABLATION:classification] STL phase start: stl_ablation_r04_d19672_parammatched architecture=[19672]
[2026-06-07 07:22:49] [ABLATION:classification] STL phase start: stl_ablation_r05_d19672_parammatched architecture=[19672]
[2026-06-07 07:40:59] [ABLATION:classification] STL phase start: stl_ablation_r01_d17705_parammatched architecture=[17705]
[2026-06-07 07:55:06] [ABLATION:classification] STL phase start: stl_ablation_r02_d17705_parammatched architecture=[17705]
[2026-06-07 08:10:31] [ABLATION:classification] STL phase start: stl_ablation_r03_d17705_parammatched architecture=[17705]
[2026-06-07 08:21:37] [ABLATION:classification] STL phase start: stl_ablation_r04_d17705_parammatched architecture=[17705]
[2026-06-07 08:37:24] [ABLATION:classification] STL phase start: stl_ablation_r05_d17705_parammatched architecture=[17705]
[2026-06-07 08:50:41] [ABLATION:classification] STL phase start: stl_ablation_r01_d15738_parammatched architecture=[15738]
[2026-06-07 09:09:59] [ABLATION:classification] STL phase start: stl_ablation_r02_d15738_parammatched architecture=[15738]
[2026-06-07 09:26:14] [ABLATION:classification] STL phase start: stl_ablation_r03_d15738_parammatched architecture=[15738]
[2026-06-07 09:39:26] [ABLATION:classification] STL phase start: stl_ablation_r04_d15738_parammatched architecture=[15738]
[2026-06-07 09:57:21] [ABLATION:classification] STL phase start: stl_ablation_r05_d15738_parammatched architecture=[15738]
[2026-06-07 10:12:30] [ABLATION:classification] STL phase start: stl_ablation_r01_d13771_parammatched architecture=[13771]
[2026-06-07 10:29:22] [ABLATION:classification] STL phase start: stl_ablation_r02_d13771_parammatched architecture=[13771]
[2026-06-07 10:49:33] [ABLATION:classification] STL phase start: stl_ablation_r03_d13771_parammatched architecture=[13771]
[2026-06-07 11:00:02] [ABLATION:classification] STL phase start: stl_ablation_r04_d13771_parammatched architecture=[13771]
[2026-06-07 11:13:06] [ABLATION:classification] STL phase start: stl_ablation_r05_d13771_parammatched architecture=[13771]
[2026-06-07 11:26:07] [ABLATION:classification] STL phase start: stl_ablation_r01_d11804_parammatched architecture=[11804]
[2026-06-07 11:36:40] [ABLATION:classification] STL phase start: stl_ablation_r02_d11804_parammatched architecture=[11804]
[2026-06-07 12:17:50] [ABLATION:classification] STL phase start: stl_ablation_r03_d11804_parammatched architecture=[11804]
[2026-06-07 13:15:32] [ABLATION:classification] STL phase start: stl_ablation_r04_d11804_parammatched architecture=[11804]
[2026-06-07 14:03:06] [ABLATION:classification] STL phase start: stl_ablation_r05_d11804_parammatched architecture=[11804]
[2026-06-07 14:16:35] [ABLATION:classification] STL phase start: stl_ablation_r01_d9837_parammatched architecture=[9837]
[2026-06-07 14:25:15] [ABLATION:classification] STL phase start: stl_ablation_r02_d9837_parammatched architecture=[9837]
[2026-06-07 14:46:40] [ABLATION:classification] STL phase start: stl_ablation_r03_d9837_parammatched architecture=[9837]
[2026-06-07 15:42:45] [ABLATION:classification] STL phase start: stl_ablation_r04_d9837_parammatched architecture=[9837]
[2026-06-07 16:31:02] [ABLATION:classification] STL phase start: stl_ablation_r05_d9837_parammatched architecture=[9837]
[2026-06-07 17:02:44] [ABLATION:classification] STL phase start: stl_ablation_r01_d7869_parammatched architecture=[7869]
[2026-06-07 17:15:38] [ABLATION:classification] STL phase start: stl_ablation_r02_d7869_parammatched architecture=[7869]
[2026-06-07 17:28:00] [ABLATION:classification] STL phase start: stl_ablation_r03_d7869_parammatched architecture=[7869]
[2026-06-07 17:41:06] [ABLATION:classification] STL phase start: stl_ablation_r04_d7869_parammatched architecture=[7869]
[2026-06-07 17:54:15] [ABLATION:classification] STL phase start: stl_ablation_r05_d7869_parammatched architecture=[7869]
[2026-06-07 18:04:07] [ABLATION:classification] STL phase start: stl_ablation_r01_d5902_parammatched architecture=[5902]
[2026-06-07 18:13:02] [ABLATION:classification] STL phase start: stl_ablation_r02_d5902_parammatched architecture=[5902]
[2026-06-07 18:28:51] [ABLATION:classification] STL phase start: stl_ablation_r03_d5902_parammatched architecture=[5902]
[2026-06-07 18:38:38] [ABLATION:classification] STL phase start: stl_ablation_r04_d5902_parammatched architecture=[5902]
[2026-06-07 18:45:58] [ABLATION:classification] STL phase start: stl_ablation_r05_d5902_parammatched architecture=[5902]
[2026-06-07 18:59:54] [ABLATION:classification] STL phase start: stl_ablation_r01_d3935_parammatched architecture=[3935]
[2026-06-07 19:13:46] [ABLATION:classification] STL phase start: stl_ablation_r02_d3935_parammatched architecture=[3935]
[2026-06-07 19:25:39] [ABLATION:classification] STL phase start: stl_ablation_r03_d3935_parammatched architecture=[3935]
[2026-06-07 19:37:13] [ABLATION:classification] STL phase start: stl_ablation_r04_d3935_parammatched architecture=[3935]
[2026-06-07 19:51:49] [ABLATION:classification] STL phase start: stl_ablation_r05_d3935_parammatched architecture=[3935]
[2026-06-07 20:06:53] [ABLATION:classification] STL phase start: stl_ablation_r01_d1968_parammatched architecture=[1968]
[2026-06-07 20:16:35] [ABLATION:classification] STL phase start: stl_ablation_r02_d1968_parammatched architecture=[1968]
[2026-06-07 20:29:04] [ABLATION:classification] STL phase start: stl_ablation_r03_d1968_parammatched architecture=[1968]
[2026-06-07 20:38:09] [ABLATION:classification] STL phase start: stl_ablation_r04_d1968_parammatched architecture=[1968]
[2026-06-07 20:50:10] [ABLATION:classification] STL phase start: stl_ablation_r05_d1968_parammatched architecture=[1968]
[2026-06-07 21:01:17] [ABLATION:classification] STL phase start: stl_ablation_r01_d01_parammatched architecture=[1]
[2026-06-07 21:13:03] [ABLATION:classification] STL phase start: stl_ablation_r02_d01_parammatched architecture=[1]
[2026-06-07 21:25:16] [ABLATION:classification] STL phase start: stl_ablation_r03_d01_parammatched architecture=[1]
[2026-06-07 21:37:11] [ABLATION:classification] STL phase start: stl_ablation_r04_d01_parammatched architecture=[1]
[2026-06-07 21:48:57] [ABLATION:classification] STL phase start: stl_ablation_r05_d01_parammatched architecture=[1]
[2026-06-07 21:56:07] [ABLATION:classification] GPU VRAM samples=[32, 5481, 4181, 5545, 5545] avg_mib=4156.8
