[2026-05-16 23:01:18] Initialized ContinuousLogger for representation_bayes (Mode: bayes)
[2026-05-16 23:02:52] [representation][bayes][cand_000_d2_w4] epoch=30 train_loss=0.903435 val_loss=0.910847 best=0.910847 es=0/5
[2026-05-16 23:02:55] [representation][bayes][cand_000_d2_w4] epoch=31 train_loss=0.900754 val_loss=0.908208 best=0.908208 es=0/5
[2026-05-16 23:02:58] [representation][bayes][cand_000_d2_w4] epoch=32 train_loss=0.898248 val_loss=0.905852 best=0.905852 es=0/5
[2026-05-16 23:03:01] [representation][bayes][cand_000_d2_w4] epoch=33 train_loss=0.895910 val_loss=0.903595 best=0.903595 es=0/5
[2026-05-16 23:03:04] [representation][bayes][cand_000_d2_w4] epoch=34 train_loss=0.893741 val_loss=0.901516 best=0.901516 es=0/5
[2026-05-16 23:03:08] [representation][bayes][cand_000_d2_w4] epoch=35 train_loss=0.891720 val_loss=0.899575 best=0.899575 es=0/5
[2026-05-16 23:03:11] [representation][bayes][cand_000_d2_w4] epoch=36 train_loss=0.889829 val_loss=0.897737 best=0.897737 es=0/5
[2026-05-16 23:03:14] [representation][bayes][cand_000_d2_w4] epoch=37 train_loss=0.888112 val_loss=0.896049 best=0.896049 es=0/5
[2026-05-16 23:03:17] [representation][bayes][cand_000_d2_w4] epoch=38 train_loss=0.886363 val_loss=0.894410 best=0.894410 es=0/5
[2026-05-16 23:03:20] [representation][bayes][cand_000_d2_w4] epoch=39 train_loss=0.884783 val_loss=0.892845 best=0.892845 es=0/5
[2026-05-16 23:03:23] [representation][bayes][cand_000_d2_w4] epoch=40 train_loss=0.883241 val_loss=0.891359 best=0.891359 es=0/5
[2026-05-16 23:03:26] [representation][bayes][cand_000_d2_w4] epoch=41 train_loss=0.881741 val_loss=0.889873 best=0.889873 es=0/5
[2026-05-16 23:03:29] [representation][bayes][cand_000_d2_w4] epoch=42 train_loss=0.880248 val_loss=0.888451 best=0.888451 es=0/5
[2026-05-16 23:03:32] [representation][bayes][cand_000_d2_w4] epoch=43 train_loss=0.878814 val_loss=0.887039 best=0.887039 es=0/5
[2026-05-16 23:03:36] [representation][bayes][cand_000_d2_w4] epoch=44 train_loss=0.877401 val_loss=0.885657 best=0.885657 es=0/5
[2026-05-16 23:03:39] [representation][bayes][cand_000_d2_w4] epoch=45 train_loss=0.876011 val_loss=0.884311 best=0.884311 es=0/5
[2026-05-16 23:03:42] [representation][bayes][cand_000_d2_w4] epoch=46 train_loss=0.874681 val_loss=0.883008 best=0.883008 es=0/5
[2026-05-16 23:03:45] [representation][bayes][cand_000_d2_w4] epoch=47 train_loss=0.873348 val_loss=0.881715 best=0.881715 es=0/5
[2026-05-16 23:03:48] [representation][bayes][cand_000_d2_w4] epoch=48 train_loss=0.872040 val_loss=0.880444 best=0.880444 es=0/5
[2026-05-16 23:03:51] [representation][bayes][cand_000_d2_w4] epoch=49 train_loss=0.870731 val_loss=0.879190 best=0.879190 es=0/5
[2026-05-16 23:03:54] [representation][bayes][cand_000_d2_w4] epoch=50 train_loss=0.869273 val_loss=0.877638 best=0.877638 es=0/5
[2026-05-16 23:03:57] [representation][bayes][cand_000_d2_w4] epoch=51 train_loss=0.867661 val_loss=0.875919 best=0.875919 es=0/5
[2026-05-16 23:04:01] [representation][bayes][cand_000_d2_w4] epoch=52 train_loss=0.865892 val_loss=0.874479 best=0.874479 es=0/5
[2026-05-16 23:04:04] [representation][bayes][cand_000_d2_w4] epoch=53 train_loss=0.864369 val_loss=0.872905 best=0.872905 es=0/5
[2026-05-16 23:04:07] [representation][bayes][cand_000_d2_w4] epoch=54 train_loss=0.862895 val_loss=0.871470 best=0.871470 es=0/5
[2026-05-16 23:04:10] [representation][bayes][cand_000_d2_w4] epoch=55 train_loss=0.861481 val_loss=0.870139 best=0.870139 es=0/5
[2026-05-16 23:04:13] [representation][bayes][cand_000_d2_w4] epoch=56 train_loss=0.860133 val_loss=0.868892 best=0.868892 es=0/5
[2026-05-16 23:04:16] [representation][bayes][cand_000_d2_w4] epoch=57 train_loss=0.858939 val_loss=0.867716 best=0.867716 es=0/5
[2026-05-16 23:04:19] [representation][bayes][cand_000_d2_w4] epoch=58 train_loss=0.857732 val_loss=0.866665 best=0.866665 es=0/5
[2026-05-16 23:04:23] [representation][bayes][cand_000_d2_w4] epoch=59 train_loss=0.856552 val_loss=0.865354 best=0.865354 es=0/5
[2026-05-16 23:04:26] [representation][bayes][cand_000_d2_w4] epoch=60 train_loss=0.855245 val_loss=0.864129 best=0.864129 es=0/5
[2026-05-16 23:04:29] [representation][bayes][cand_000_d2_w4] epoch=61 train_loss=0.854103 val_loss=0.863097 best=0.863097 es=0/5
[2026-05-16 23:04:32] [representation][bayes][cand_000_d2_w4] epoch=62 train_loss=0.853018 val_loss=0.862087 best=0.862087 es=0/5
[2026-05-16 23:04:35] [representation][bayes][cand_000_d2_w4] epoch=63 train_loss=0.852048 val_loss=0.861186 best=0.861186 es=0/5
[2026-05-16 23:04:39] [representation][bayes][cand_000_d2_w4] epoch=64 train_loss=0.851213 val_loss=0.860431 best=0.860431 es=0/5
[2026-05-16 23:04:42] [representation][bayes][cand_000_d2_w4] epoch=65 train_loss=0.850473 val_loss=0.859712 best=0.859712 es=0/5
[2026-05-16 23:04:45] [representation][bayes][cand_000_d2_w4] epoch=66 train_loss=0.849731 val_loss=0.859041 best=0.859041 es=0/5
[2026-05-16 23:04:48] [representation][bayes][cand_000_d2_w4] epoch=67 train_loss=0.849097 val_loss=0.858429 best=0.858429 es=0/5
[2026-05-16 23:04:52] [representation][bayes][cand_000_d2_w4] epoch=68 train_loss=0.848503 val_loss=0.857848 best=0.857848 es=0/5
[2026-05-16 23:04:55] [representation][bayes][cand_000_d2_w4] epoch=69 train_loss=0.847854 val_loss=0.857165 best=0.857165 es=0/5
[2026-05-16 23:04:59] [representation][bayes][cand_000_d2_w4] epoch=70 train_loss=0.847193 val_loss=0.856537 best=0.856537 es=0/5
[2026-05-16 23:05:02] [representation][bayes][cand_000_d2_w4] epoch=71 train_loss=0.846612 val_loss=0.855967 best=0.855967 es=0/5
[2026-05-16 23:05:05] [representation][bayes][cand_000_d2_w4] epoch=72 train_loss=0.846064 val_loss=0.855481 best=0.855481 es=0/5
[2026-05-16 23:05:09] [representation][bayes][cand_000_d2_w4] epoch=73 train_loss=0.845589 val_loss=0.855025 best=0.855025 es=0/5
[2026-05-16 23:05:12] [representation][bayes][cand_000_d2_w4] epoch=74 train_loss=0.845148 val_loss=0.854635 best=0.854635 es=0/5
[2026-05-16 23:05:16] [representation][bayes][cand_000_d2_w4] epoch=75 train_loss=0.844744 val_loss=0.854231 best=0.854231 es=0/5
[2026-05-16 23:05:19] [representation][bayes][cand_000_d2_w4] epoch=76 train_loss=0.844342 val_loss=0.853868 best=0.853868 es=0/5
[2026-05-16 23:05:22] [representation][bayes][cand_000_d2_w4] epoch=77 train_loss=0.843988 val_loss=0.853515 best=0.853515 es=0/5
