task,depth,width,params_mantissa,params_power10
anomaly,2,9765,9.6,7
anomaly,2,9014,8.2,7
anomaly,2,8263,6.9,7
anomaly,2,7512,5.7,7
anomaly,2,6761,4.6,7
anomaly,2,6010,3.7,7
anomaly,2,5259,2.8,7
anomaly,2,4508,2.1,7
anomaly,2,3757,1.5,7
anomaly,2,3005,9.4,6
anomaly,2,2254,5.3,6
anomaly,2,1503,2.4,6
anomaly,2,752,6.5,5
anomaly,2,1,1.7,2
anomaly,3,10560,2.2,8
anomaly,3,10004,2.0,8
anomaly,3,9449,1.8,8
anomaly,3,8893,1.6,8
anomaly,3,8337,1.4,8
anomaly,3,7781,1.2,8
anomaly,3,7226,1.1,8
anomaly,3,6670,9.0,7
anomaly,3,6114,7.5,7
anomaly,3,5558,6.2,7
anomaly,3,5003,5.1,7
anomaly,3,4447,4.0,7
anomaly,3,3891,3.1,7
anomaly,3,3335,2.3,7
anomaly,3,2780,1.6,7
anomaly,3,2224,1.0,7
anomaly,3,1668,5.8,6
anomaly,3,1112,2.6,6
anomaly,3,557,6.9,5
anomaly,3,1,1.7,2
anomaly,4,8512,2.2,8
anomaly,4,8064,2.0,8
anomaly,4,7616,1.7,8
anomaly,4,7168,1.6,8
anomaly,4,6720,1.4,8
anomaly,4,6272,1.2,8
anomaly,4,5824,1.0,8
anomaly,4,5376,8.7,7
anomaly,4,4928,7.3,7
anomaly,4,4480,6.1,7
anomaly,4,4033,4.9,7
anomaly,4,3585,3.9,7
anomaly,4,3137,3.0,7
anomaly,4,2689,2.2,7
anomaly,4,2241,1.5,7
anomaly,4,1793,9.9,6
anomaly,4,1345,5.6,6
anomaly,4,897,2.5,6
anomaly,4,449,6.6,5
anomaly,4,1,1.8,2
anomaly,5,7296,2.1,8
anomaly,5,6912,1.9,8
anomaly,5,6528,1.7,8
anomaly,5,6144,1.5,8
anomaly,5,5760,1.3,8
anomaly,5,5376,1.2,8
anomaly,5,4992,1.0,8
anomaly,5,4608,8.6,7
anomaly,5,4224,7.2,7
anomaly,5,3840,5.9,7
anomaly,5,3457,4.8,7
anomaly,5,3073,3.8,7
anomaly,5,2689,2.9,7
anomaly,5,2305,2.2,7
anomaly,5,1921,1.5,7
anomaly,5,1537,9.6,6
anomaly,5,1153,5.5,6
anomaly,5,769,2.5,6
anomaly,5,385,6.4,5
anomaly,5,1,1.8,2
anomaly,6,6400,2.1,8
anomaly,6,6063,1.8,8
anomaly,6,5726,1.6,8
anomaly,6,5390,1.5,8
anomaly,6,5053,1.3,8
anomaly,6,4716,1.1,8
anomaly,6,4379,9.6,7
anomaly,6,4042,8.2,7
anomaly,6,3706,6.9,7
anomaly,6,3369,5.7,7
anomaly,6,3032,4.6,7
anomaly,6,2695,3.7,7
anomaly,6,2359,2.8,7
anomaly,6,2022,2.1,7
anomaly,6,1685,1.4,7
anomaly,6,1348,9.3,6
anomaly,6,1011,5.2,6
anomaly,6,675,2.4,6
anomaly,6,338,6.1,5
anomaly,6,1,1.9,2
anomaly,7,5760,2.0,8
anomaly,7,5457,1.8,8
anomaly,7,5154,1.6,8
anomaly,7,4851,1.4,8
anomaly,7,4548,1.2,8
anomaly,7,4244,1.1,8
anomaly,7,3941,9.4,7
anomaly,7,3638,8.0,7
anomaly,7,3335,6.7,7
anomaly,7,3032,5.6,7
anomaly,7,2729,4.5,7
anomaly,7,2426,3.6,7
anomaly,7,2123,2.7,7
anomaly,7,1820,2.0,7
anomaly,7,1517,1.4,7
anomaly,7,1213,9.0,6
anomaly,7,910,5.1,6
anomaly,7,607,2.3,6
anomaly,7,304,5.9,5
anomaly,7,1,1.9,2
anomaly,8,5248,1.9,8
anomaly,8,4972,1.7,8
anomaly,8,4696,1.5,8
anomaly,8,4420,1.4,8
anomaly,8,4143,1.2,8
anomaly,8,3867,1.1,8
anomaly,8,3591,9.1,7
anomaly,8,3315,7.7,7
anomaly,8,3039,6.5,7
anomaly,8,2763,5.4,7
anomaly,8,2486,4.4,7
anomaly,8,2210,3.4,7
anomaly,8,1934,2.6,7
anomaly,8,1658,1.9,7
anomaly,8,1382,1.4,7
anomaly,8,1106,8.7,6
anomaly,8,829,4.9,6
anomaly,8,553,2.2,6
anomaly,8,277,5.7,5
anomaly,8,1,1.9,2
anomaly,9,4864,1.9,8
anomaly,9,4608,1.7,8
anomaly,9,4352,1.5,8
anomaly,9,4096,1.3,8
anomaly,9,3840,1.2,8
anomaly,9,3584,1.0,8
anomaly,9,3328,8.9,7
anomaly,9,3072,7.6,7
anomaly,9,2816,6.4,7
anomaly,9,2560,5.3,7
anomaly,9,2305,4.3,7
anomaly,9,2049,3.4,7
anomaly,9,1793,2.6,7
anomaly,9,1537,1.9,7
anomaly,9,1281,1.3,7
anomaly,9,1025,8.5,6
anomaly,9,769,4.8,6
anomaly,9,513,2.2,6
anomaly,9,257,5.6,5
anomaly,9,1,2.0,2
anomaly,10,4416,1.8,8
anomaly,10,4184,1.6,8
anomaly,10,3951,1.4,8
anomaly,10,3719,1.2,8
anomaly,10,3487,1.1,8
anomaly,10,3254,9.6,7
anomaly,10,3022,8.3,7
anomaly,10,2789,7.0,7
anomaly,10,2557,5.9,7
anomaly,10,2325,4.9,7
anomaly,10,2092,4.0,7
anomaly,10,1860,3.1,7
anomaly,10,1628,2.4,7
anomaly,10,1395,1.8,7
anomaly,10,1163,1.2,7
anomaly,10,930,7.9,6
anomaly,10,698,4.5,6
anomaly,10,466,2.0,6
anomaly,10,233,5.2,5
anomaly,10,1,2.0,2
simulation,1,37568,4.5,5
simulation,1,35591,4.3,5
simulation,1,33614,4.0,5
simulation,1,31636,3.8,5
simulation,1,29659,3.6,5
simulation,1,27682,3.3,5
simulation,1,25705,3.1,5
simulation,1,23728,2.8,5
simulation,1,21750,2.6,5
simulation,1,19773,2.4,5
simulation,1,17796,2.1,5
simulation,1,15819,1.9,5
simulation,1,13841,1.7,5
simulation,1,11864,1.4,5
simulation,1,9887,1.2,5
simulation,1,7910,9.5,4
simulation,1,5933,7.1,4
simulation,1,3955,4.7,4
simulation,1,1978,2.4,4
simulation,1,1,1.3,1
simulation,2,14272,2.0,8
simulation,2,13521,1.8,8
simulation,2,12770,1.6,8
simulation,2,12019,1.4,8
simulation,2,11268,1.3,8
simulation,2,10516,1.1,8
simulation,2,9765,9.6,7
simulation,2,9014,8.1,7
simulation,2,8263,6.8,7
simulation,2,7512,5.7,7
simulation,2,6761,4.6,7
simulation,2,6010,3.6,7
simulation,2,5259,2.8,7
simulation,2,4508,2.0,7
simulation,2,3757,1.4,7
simulation,2,3005,9.1,6
simulation,2,2254,5.1,6
simulation,2,1503,2.3,6
simulation,2,752,5.8,5
simulation,2,1,1.7,1
simulation,3,10560,2.2,8
