[2025-12-16 09:45:38] Initialized ContinuousLogger for ae_stl (Mode: width_to_depth)
[2025-12-16 09:45:38] Logs: results_adp_ae_stl_cifar10_w1d1_w2d\training_log.txt
[2025-12-16 09:45:38] CSV: results_adp_ae_stl_cifar10_w1d1_w2d\training_stats.csv
[2025-12-16 09:45:38] 
================================================================================
[2025-12-16 09:45:38] ADP SEARCH STARTED: mode=width_to_depth, delta=0.001
[2025-12-16 09:45:38] Initial: width=1, depth=1, neurons=2
[2025-12-16 09:45:38] ================================================================================

[2025-12-16 09:45:38] [INITIAL TRAINING] width=1, depth=1
[2025-12-16 09:55:21]   Epoch  71/10000000000000000000 | Device: cuda | Train Loss: 0.005708 | Val Loss: 0.005542 | Best: 0.005506 | ES: 5/10
[2025-12-16 09:55:30]   Epoch  72/10000000000000000000 | Device: cuda | Train Loss: 0.005715 | Val Loss: 0.005591 | Best: 0.005506 | ES: 6/10
[2025-12-16 09:55:37]   Epoch  73/10000000000000000000 | Device: cuda | Train Loss: 0.005729 | Val Loss: 0.005483 | Best: 0.005483 | ES: 0/10 ✓ NEW BEST
[2025-12-16 09:55:45]   Epoch  74/10000000000000000000 | Device: cuda | Train Loss: 0.005707 | Val Loss: 0.005517 | Best: 0.005483 | ES: 1/10
[2025-12-16 09:55:54]   Epoch  75/10000000000000000000 | Device: cuda | Train Loss: 0.005704 | Val Loss: 0.005508 | Best: 0.005483 | ES: 2/10
[2025-12-16 09:56:02]   Epoch  76/10000000000000000000 | Device: cuda | Train Loss: 0.005697 | Val Loss: 0.005545 | Best: 0.005483 | ES: 3/10
[2025-12-16 09:56:09]   Epoch  77/10000000000000000000 | Device: cuda | Train Loss: 0.005711 | Val Loss: 0.005480 | Best: 0.005480 | ES: 0/10 ✓ NEW BEST
[2025-12-16 09:56:17]   Epoch  78/10000000000000000000 | Device: cuda | Train Loss: 0.005698 | Val Loss: 0.005514 | Best: 0.005480 | ES: 1/10
[2025-12-16 09:56:25]   Epoch  79/10000000000000000000 | Device: cuda | Train Loss: 0.005713 | Val Loss: 0.005516 | Best: 0.005480 | ES: 2/10
[2025-12-16 09:56:33]   Epoch  80/10000000000000000000 | Device: cuda | Train Loss: 0.005697 | Val Loss: 0.005491 | Best: 0.005480 | ES: 3/10
[2025-12-16 09:56:40]   Epoch  81/10000000000000000000 | Device: cuda | Train Loss: 0.005690 | Val Loss: 0.005472 | Best: 0.005472 | ES: 0/10 ✓ NEW BEST
[2025-12-16 09:56:48]   Epoch  82/10000000000000000000 | Device: cuda | Train Loss: 0.005703 | Val Loss: 0.005486 | Best: 0.005472 | ES: 1/10
[2025-12-16 09:56:56]   Epoch  83/10000000000000000000 | Device: cuda | Train Loss: 0.005703 | Val Loss: 0.005471 | Best: 0.005471 | ES: 0/10 ✓ NEW BEST
[2025-12-16 09:57:04]   Epoch  84/10000000000000000000 | Device: cuda | Train Loss: 0.005686 | Val Loss: 0.005472 | Best: 0.005471 | ES: 1/10
[2025-12-16 09:57:12]   Epoch  85/10000000000000000000 | Device: cuda | Train Loss: 0.005697 | Val Loss: 0.005645 | Best: 0.005471 | ES: 2/10
[2025-12-16 09:57:19]   Epoch  86/10000000000000000000 | Device: cuda | Train Loss: 0.005692 | Val Loss: 0.005504 | Best: 0.005471 | ES: 3/10
[2025-12-16 09:57:27]   Epoch  87/10000000000000000000 | Device: cuda | Train Loss: 0.005681 | Val Loss: 0.005476 | Best: 0.005471 | ES: 4/10
[2025-12-16 09:57:35]   Epoch  88/10000000000000000000 | Device: cuda | Train Loss: 0.005684 | Val Loss: 0.005469 | Best: 0.005469 | ES: 0/10 ✓ NEW BEST
[2025-12-16 09:57:43]   Epoch  89/10000000000000000000 | Device: cuda | Train Loss: 0.005695 | Val Loss: 0.005485 | Best: 0.005469 | ES: 1/10
[2025-12-16 09:57:50]   Epoch  90/10000000000000000000 | Device: cuda | Train Loss: 0.005691 | Val Loss: 0.005503 | Best: 0.005469 | ES: 2/10
[2025-12-16 09:57:58]   Epoch  91/10000000000000000000 | Device: cuda | Train Loss: 0.005698 | Val Loss: 0.005464 | Best: 0.005464 | ES: 0/10 ✓ NEW BEST
[2025-12-16 09:58:07]   Epoch  92/10000000000000000000 | Device: cuda | Train Loss: 0.005689 | Val Loss: 0.005476 | Best: 0.005464 | ES: 1/10
[2025-12-16 09:58:14]   Epoch  93/10000000000000000000 | Device: cuda | Train Loss: 0.005686 | Val Loss: 0.005494 | Best: 0.005464 | ES: 2/10
[2025-12-16 09:58:22]   Epoch  94/10000000000000000000 | Device: cuda | Train Loss: 0.005687 | Val Loss: 0.005476 | Best: 0.005464 | ES: 3/10
[2025-12-16 09:58:30]   Epoch  95/10000000000000000000 | Device: cuda | Train Loss: 0.005688 | Val Loss: 0.005465 | Best: 0.005464 | ES: 4/10
[2025-12-16 09:58:37]   Epoch  96/10000000000000000000 | Device: cuda | Train Loss: 0.005675 | Val Loss: 0.005473 | Best: 0.005464 | ES: 5/10
[2025-12-16 09:58:45]   Epoch  97/10000000000000000000 | Device: cuda | Train Loss: 0.005676 | Val Loss: 0.005464 | Best: 0.005464 | ES: 6/10
[2025-12-16 09:58:53]   Epoch  98/10000000000000000000 | Device: cuda | Train Loss: 0.005684 | Val Loss: 0.005501 | Best: 0.005464 | ES: 7/10
[2025-12-16 09:59:00]   Epoch  99/10000000000000000000 | Device: cuda | Train Loss: 0.005691 | Val Loss: 0.005460 | Best: 0.005460 | ES: 0/10 ✓ NEW BEST
[2025-12-16 09:59:08]   Epoch 100/10000000000000000000 | Device: cuda | Train Loss: 0.005706 | Val Loss: 0.005624 | Best: 0.005460 | ES: 1/10
[2025-12-16 09:59:16]   Epoch 101/10000000000000000000 | Device: cuda | Train Loss: 0.005676 | Val Loss: 0.005492 | Best: 0.005460 | ES: 2/10
[2025-12-16 09:59:24]   Epoch 102/10000000000000000000 | Device: cuda | Train Loss: 0.005690 | Val Loss: 0.005596 | Best: 0.005460 | ES: 3/10
[2025-12-16 09:59:32]   Epoch 103/10000000000000000000 | Device: cuda | Train Loss: 0.005686 | Val Loss: 0.005581 | Best: 0.005460 | ES: 4/10
[2025-12-16 09:59:40]   Epoch 104/10000000000000000000 | Device: cuda | Train Loss: 0.005694 | Val Loss: 0.005462 | Best: 0.005460 | ES: 5/10
[2025-12-16 09:59:47]   Epoch 105/10000000000000000000 | Device: cuda | Train Loss: 0.005683 | Val Loss: 0.005616 | Best: 0.005460 | ES: 6/10
[2025-12-16 09:59:55]   Epoch 106/10000000000000000000 | Device: cuda | Train Loss: 0.005691 | Val Loss: 0.005501 | Best: 0.005460 | ES: 7/10
[2025-12-16 10:00:03]   Epoch 107/10000000000000000000 | Device: cuda | Train Loss: 0.005685 | Val Loss: 0.005463 | Best: 0.005460 | ES: 8/10
[2025-12-16 10:00:11]   Epoch 108/10000000000000000000 | Device: cuda | Train Loss: 0.005678 | Val Loss: 0.005462 | Best: 0.005460 | ES: 9/10
[2025-12-16 10:00:18]   Epoch 109/10000000000000000000 | Device: cuda | Train Loss: 0.005683 | Val Loss: 0.005616 | Best: 0.005460 | ES: 10/10
[2025-12-16 10:00:18]   Early stopping triggered at epoch 109
[2025-12-16 10:00:18] [INITIAL RESULT] Best val loss: 0.005460

[2025-12-16 10:00:18] 
[DEPTH OPTIMIZATION] Starting at width=1, depth=1
[2025-12-16 10:00:26]   Epoch   1/10000000000000000000 | Device: cuda | Train Loss: 0.005693 | Val Loss: 0.005460 | Best: 0.005460 | ES: 0/10 ✓ NEW BEST
[2025-12-16 10:00:33]   Epoch   2/10000000000000000000 | Device: cuda | Train Loss: 0.005683 | Val Loss: 0.005566 | Best: 0.005460 | ES: 1/10
[2025-12-16 10:00:41]   Epoch   3/10000000000000000000 | Device: cuda | Train Loss: 0.005687 | Val Loss: 0.005459 | Best: 0.005459 | ES: 0/10 ✓ NEW BEST
[2025-12-16 10:00:49]   Epoch   4/10000000000000000000 | Device: cuda | Train Loss: 0.005683 | Val Loss: 0.005461 | Best: 0.005459 | ES: 1/10
[2025-12-16 10:00:56]   Epoch   5/10000000000000000000 | Device: cuda | Train Loss: 0.005695 | Val Loss: 0.005478 | Best: 0.005459 | ES: 2/10
[2025-12-16 10:01:04]   Epoch   6/10000000000000000000 | Device: cuda | Train Loss: 0.005675 | Val Loss: 0.005460 | Best: 0.005459 | ES: 3/10
