[2026-05-20 08:12:55] Initialized ContinuousLogger for autoencoding_ae_alt_width (Mode: ae_alt_width)
[2026-05-20 08:12:55] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_004_d1_w5/training_log.txt
[2026-05-20 08:12:55] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_width/cand_004_d1_w5/training_stats.csv
[2026-05-20 08:12:55] [CANDIDATE] task=autoencoding phase=ae_alt_width index=4 search_phase=width architecture=[5]
[2026-05-20 08:15:19] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=66 architecture=[5] train_loss=0.788113 val_loss=0.796824 best=0.796824 es=0/5
[2026-05-20 08:15:21] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=67 architecture=[5] train_loss=0.788041 val_loss=0.796763 best=0.796824 es=1/5
[2026-05-20 08:15:23] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=68 architecture=[5] train_loss=0.787974 val_loss=0.796706 best=0.796706 es=0/5
[2026-05-20 08:15:25] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=69 architecture=[5] train_loss=0.787905 val_loss=0.796647 best=0.796706 es=1/5
[2026-05-20 08:15:28] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=70 architecture=[5] train_loss=0.787862 val_loss=0.796591 best=0.796591 es=0/5
[2026-05-20 08:15:30] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=71 architecture=[5] train_loss=0.787799 val_loss=0.796546 best=0.796591 es=1/5
[2026-05-20 08:15:32] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=72 architecture=[5] train_loss=0.787743 val_loss=0.796489 best=0.796489 es=0/5
[2026-05-20 08:15:34] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=73 architecture=[5] train_loss=0.787680 val_loss=0.796437 best=0.796489 es=1/5
[2026-05-20 08:15:36] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=74 architecture=[5] train_loss=0.787623 val_loss=0.796381 best=0.796381 es=0/5
[2026-05-20 08:15:38] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=75 architecture=[5] train_loss=0.787577 val_loss=0.796349 best=0.796381 es=1/5
[2026-05-20 08:15:41] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=76 architecture=[5] train_loss=0.787525 val_loss=0.796298 best=0.796381 es=2/5
[2026-05-20 08:15:43] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=77 architecture=[5] train_loss=0.787469 val_loss=0.796243 best=0.796243 es=0/5
[2026-05-20 08:15:45] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=78 architecture=[5] train_loss=0.787425 val_loss=0.796202 best=0.796243 es=1/5
[2026-05-20 08:15:47] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=79 architecture=[5] train_loss=0.787369 val_loss=0.796147 best=0.796243 es=2/5
[2026-05-20 08:15:49] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=80 architecture=[5] train_loss=0.787319 val_loss=0.796105 best=0.796105 es=0/5
[2026-05-20 08:15:52] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=81 architecture=[5] train_loss=0.787269 val_loss=0.796050 best=0.796105 es=1/5
[2026-05-20 08:15:54] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=82 architecture=[5] train_loss=0.787224 val_loss=0.796011 best=0.796105 es=2/5
[2026-05-20 08:15:56] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=83 architecture=[5] train_loss=0.787185 val_loss=0.795966 best=0.795966 es=0/5
[2026-05-20 08:15:58] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=84 architecture=[5] train_loss=0.787136 val_loss=0.795931 best=0.795966 es=1/5
[2026-05-20 08:16:00] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=85 architecture=[5] train_loss=0.787111 val_loss=0.795891 best=0.795966 es=2/5
[2026-05-20 08:16:02] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=86 architecture=[5] train_loss=0.787062 val_loss=0.795848 best=0.795848 es=0/5
[2026-05-20 08:16:04] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=87 architecture=[5] train_loss=0.787026 val_loss=0.795814 best=0.795848 es=1/5
[2026-05-20 08:16:07] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=88 architecture=[5] train_loss=0.786980 val_loss=0.795780 best=0.795848 es=2/5
[2026-05-20 08:16:09] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=89 architecture=[5] train_loss=0.786948 val_loss=0.795756 best=0.795848 es=3/5
[2026-05-20 08:16:11] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=90 architecture=[5] train_loss=0.786901 val_loss=0.795703 best=0.795703 es=0/5
[2026-05-20 08:16:13] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=91 architecture=[5] train_loss=0.786859 val_loss=0.795666 best=0.795703 es=1/5
[2026-05-20 08:16:15] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=92 architecture=[5] train_loss=0.786826 val_loss=0.795640 best=0.795703 es=2/5
[2026-05-20 08:16:18] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=93 architecture=[5] train_loss=0.786789 val_loss=0.795599 best=0.795599 es=0/5
[2026-05-20 08:16:20] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=94 architecture=[5] train_loss=0.786763 val_loss=0.795573 best=0.795599 es=1/5
[2026-05-20 08:16:23] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=95 architecture=[5] train_loss=0.786731 val_loss=0.795542 best=0.795599 es=2/5
[2026-05-20 08:16:25] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=96 architecture=[5] train_loss=0.786697 val_loss=0.795513 best=0.795599 es=3/5
[2026-05-20 08:16:28] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=97 architecture=[5] train_loss=0.786656 val_loss=0.795486 best=0.795486 es=0/5
[2026-05-20 08:16:30] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=98 architecture=[5] train_loss=0.786627 val_loss=0.795443 best=0.795486 es=1/5
[2026-05-20 08:16:33] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=99 architecture=[5] train_loss=0.786596 val_loss=0.795424 best=0.795486 es=2/5
[2026-05-20 08:16:36] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=100 architecture=[5] train_loss=0.786571 val_loss=0.795397 best=0.795486 es=3/5
[2026-05-20 08:16:38] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=101 architecture=[5] train_loss=0.786555 val_loss=0.795373 best=0.795373 es=0/5
[2026-05-20 08:16:41] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=102 architecture=[5] train_loss=0.786527 val_loss=0.795349 best=0.795373 es=1/5
[2026-05-20 08:16:44] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=103 architecture=[5] train_loss=0.786498 val_loss=0.795319 best=0.795373 es=2/5
[2026-05-20 08:16:46] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=104 architecture=[5] train_loss=0.786461 val_loss=0.795296 best=0.795373 es=3/5
[2026-05-20 08:16:49] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=105 architecture=[5] train_loss=0.786436 val_loss=0.795280 best=0.795373 es=4/5
[2026-05-20 08:16:51] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=106 architecture=[5] train_loss=0.786421 val_loss=0.795251 best=0.795251 es=0/5
[2026-05-20 08:16:54] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=107 architecture=[5] train_loss=0.786398 val_loss=0.795232 best=0.795251 es=1/5
[2026-05-20 08:16:56] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=108 architecture=[5] train_loss=0.786374 val_loss=0.795211 best=0.795251 es=2/5
[2026-05-20 08:16:59] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=109 architecture=[5] train_loss=0.786355 val_loss=0.795184 best=0.795251 es=3/5
[2026-05-20 08:17:01] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=110 architecture=[5] train_loss=0.786335 val_loss=0.795159 best=0.795251 es=4/5
[2026-05-20 08:17:04] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=111 architecture=[5] train_loss=0.786306 val_loss=0.795147 best=0.795147 es=0/5
[2026-05-20 08:17:06] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=112 architecture=[5] train_loss=0.786284 val_loss=0.795124 best=0.795147 es=1/5
[2026-05-20 08:17:08] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=113 architecture=[5] train_loss=0.786273 val_loss=0.795107 best=0.795147 es=2/5
[2026-05-20 08:17:11] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=114 architecture=[5] train_loss=0.786244 val_loss=0.795086 best=0.795147 es=3/5
[2026-05-20 08:17:13] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=115 architecture=[5] train_loss=0.786249 val_loss=0.795075 best=0.795147 es=4/5
[2026-05-20 08:17:15] [autoencoding][ae_alt_width][cand_004_d1_w5] epoch=116 architecture=[5] train_loss=0.786229 val_loss=0.795049 best=0.795147 es=5/5
