task,family,phase,architecture,best_val,parameter_count,checkpoint_best,label
denoising,STL_ablation,stl_ablation_d06_w160_160_160_160_160_160_160,"[160, 160, 160, 160, 160, 160]",0.014600501144758022,148214,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d06_w160_160_160_160_160_160_160/cand_000_d6_w160/checkpoint_best.pt,"STL_ablation | stl_ablation_d06_w160_160_160_160_160_160_160
[160, 160, 160, 160, 160, 160]"
denoising,STL_ablation,stl_ablation_d06_w192_192_192_192_192_192_192,"[192, 192, 192, 192, 192, 192]",0.013877666935786187,208566,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d06_w192_192_192_192_192_192_192/cand_000_d6_w192/checkpoint_best.pt,"STL_ablation | stl_ablation_d06_w192_192_192_192_192_192_192
[192, 192, 192, 192, 192, 192]"
denoising,STL_ablation,stl_ablation_d06_w224_224_224_224_224_224_224,"[224, 224, 224, 224, 224, 224]",0.011524175988055883,279158,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d06_w224_224_224_224_224_224_224/cand_000_d6_w224/checkpoint_best.pt,"STL_ablation | stl_ablation_d06_w224_224_224_224_224_224_224
[224, 224, 224, 224, 224, 224]"
denoising,STL_ablation,stl_ablation_d06_w256_256_256_256_256_256_256,"[256, 256, 256, 256, 256, 256]",0.012930187292979081,359990,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d06_w256_256_256_256_256_256_256/cand_000_d6_w256/checkpoint_best.pt,"STL_ablation | stl_ablation_d06_w256_256_256_256_256_256_256
[256, 256, 256, 256, 256, 256]"
denoising,STL_ablation,stl_ablation_d08_w064_64_64_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64, 64, 64]",0.04193833084959957,37174,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d08_w064_64_64_64_64_64_64_64_64/cand_000_d8_w64/checkpoint_best.pt,"STL_ablation | stl_ablation_d08_w064_64_64_64_64_64_64_64_64
[64, 64, 64, 64, 64, 64, 64, 64]"
denoising,STL_ablation,stl_ablation_d08_w096_96_96_96_96_96_96_96_96,"[96, 96, 96, 96, 96, 96, 96, 96]",0.02410615762673774,77238,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d08_w096_96_96_96_96_96_96_96_96/cand_000_d8_w96/checkpoint_best.pt,"STL_ablation | stl_ablation_d08_w096_96_96_96_96_96_96_96_96
[96, 96, 96, 96, 96, 96, 96, 96]"
denoising,STL_ablation,stl_ablation_d08_w128_128_128_128_128_128_128_128_128,"[128, 128, 128, 128, 128, 128, 128, 128]",0.020101449317581666,131638,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d08_w128_128_128_128_128_128_128_128_128/cand_000_d8_w128/checkpoint_best.pt,"STL_ablation | stl_ablation_d08_w128_128_128_128_128_128_128_128_128
[128, 128, 128, 128, 128, 128, 128, 128]"
denoising,STL_ablation,stl_ablation_d08_w160_160_160_160_160_160_160_160_160,"[160, 160, 160, 160, 160, 160, 160, 160]",0.014385182537351075,200374,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d08_w160_160_160_160_160_160_160_160_160/cand_000_d8_w160/checkpoint_best.pt,"STL_ablation | stl_ablation_d08_w160_160_160_160_160_160_160_160_160
[160, 160, 160, 160, 160, 160, 160, 160]"
denoising,STL_ablation,stl_ablation_d08_w192_192_192_192_192_192_192_192_192,"[192, 192, 192, 192, 192, 192, 192, 192]",0.015659820094672698,283446,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d08_w192_192_192_192_192_192_192_192_192/cand_000_d8_w192/checkpoint_best.pt,"STL_ablation | stl_ablation_d08_w192_192_192_192_192_192_192_192_192
[192, 192, 192, 192, 192, 192, 192, 192]"
denoising,STL_ablation,stl_ablation_d08_w224_224_224_224_224_224_224_224_224,"[224, 224, 224, 224, 224, 224, 224, 224]",0.010973225980922069,380854,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d08_w224_224_224_224_224_224_224_224_224/cand_000_d8_w224/checkpoint_best.pt,"STL_ablation | stl_ablation_d08_w224_224_224_224_224_224_224_224_224
[224, 224, 224, 224, 224, 224, 224, 224]"
