[2025-12-14 16:09:35] Initialized ContinuousLogger for cnn_stl (Mode: width_only)
[2025-12-14 16:09:35] Logs: results_adp_cnn_infinity\training_log.txt
[2025-12-14 16:09:35] CSV: results_adp_cnn_infinity\training_stats.csv
[2025-12-14 16:09:35] [INITIAL TRAINING]
[2025-12-14 16:21:18]   Epoch 78/10000000000000000000 | Device: cuda | Val Loss: 1.898179 | Best: 1.895333 | ES: 10/10
[2025-12-14 16:21:29]   Epoch 1/10000000000000000000 | Device: cuda | Val Loss: 1.903567 | Best: 1.903567 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:21:40]   Epoch 2/10000000000000000000 | Device: cuda | Val Loss: 1.905642 | Best: 1.903567 | ES: 1/10
[2025-12-14 16:21:50]   Epoch 3/10000000000000000000 | Device: cuda | Val Loss: 1.894961 | Best: 1.894961 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:22:01]   Epoch 4/10000000000000000000 | Device: cuda | Val Loss: 1.895711 | Best: 1.894961 | ES: 1/10
[2025-12-14 16:22:11]   Epoch 5/10000000000000000000 | Device: cuda | Val Loss: 1.906032 | Best: 1.894961 | ES: 2/10
[2025-12-14 16:22:22]   Epoch 6/10000000000000000000 | Device: cuda | Val Loss: 1.934103 | Best: 1.894961 | ES: 3/10
[2025-12-14 16:22:30]   Epoch 7/10000000000000000000 | Device: cuda | Val Loss: 1.896343 | Best: 1.894961 | ES: 4/10
[2025-12-14 16:22:39]   Epoch 8/10000000000000000000 | Device: cuda | Val Loss: 1.908931 | Best: 1.894961 | ES: 5/10
[2025-12-14 16:22:48]   Epoch 9/10000000000000000000 | Device: cuda | Val Loss: 1.907372 | Best: 1.894961 | ES: 6/10
[2025-12-14 16:22:56]   Epoch 10/10000000000000000000 | Device: cuda | Val Loss: 1.911942 | Best: 1.894961 | ES: 7/10
[2025-12-14 16:23:04]   Epoch 11/10000000000000000000 | Device: cuda | Val Loss: 1.894057 | Best: 1.894057 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:23:14]   Epoch 12/10000000000000000000 | Device: cuda | Val Loss: 1.900226 | Best: 1.894057 | ES: 1/10
[2025-12-14 16:23:25]   Epoch 13/10000000000000000000 | Device: cuda | Val Loss: 1.893338 | Best: 1.893338 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:23:35]   Epoch 14/10000000000000000000 | Device: cuda | Val Loss: 1.911713 | Best: 1.893338 | ES: 1/10
[2025-12-14 16:23:45]   Epoch 15/10000000000000000000 | Device: cuda | Val Loss: 1.891937 | Best: 1.891937 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:23:55]   Epoch 16/10000000000000000000 | Device: cuda | Val Loss: 1.888964 | Best: 1.888964 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:24:04]   Epoch 17/10000000000000000000 | Device: cuda | Val Loss: 1.890090 | Best: 1.888964 | ES: 1/10
[2025-12-14 16:24:15]   Epoch 18/10000000000000000000 | Device: cuda | Val Loss: 1.939783 | Best: 1.888964 | ES: 2/10
[2025-12-14 16:24:25]   Epoch 19/10000000000000000000 | Device: cuda | Val Loss: 1.897389 | Best: 1.888964 | ES: 3/10
[2025-12-14 16:24:34]   Epoch 20/10000000000000000000 | Device: cuda | Val Loss: 1.913676 | Best: 1.888964 | ES: 4/10
[2025-12-14 16:24:43]   Epoch 21/10000000000000000000 | Device: cuda | Val Loss: 1.895004 | Best: 1.888964 | ES: 5/10
[2025-12-14 16:24:55]   Epoch 22/10000000000000000000 | Device: cuda | Val Loss: 1.929773 | Best: 1.888964 | ES: 6/10
[2025-12-14 16:25:05]   Epoch 23/10000000000000000000 | Device: cuda | Val Loss: 1.893368 | Best: 1.888964 | ES: 7/10
[2025-12-14 16:25:13]   Epoch 24/10000000000000000000 | Device: cuda | Val Loss: 1.902839 | Best: 1.888964 | ES: 8/10
[2025-12-14 16:25:23]   Epoch 25/10000000000000000000 | Device: cuda | Val Loss: 1.898770 | Best: 1.888964 | ES: 9/10
[2025-12-14 16:25:33]   Epoch 26/10000000000000000000 | Device: cuda | Val Loss: 1.896122 | Best: 1.888964 | ES: 10/10
[2025-12-14 16:25:43]   Epoch 1/10000000000000000000 | Device: cuda | Val Loss: 1.910627 | Best: 1.910627 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:25:52]   Epoch 2/10000000000000000000 | Device: cuda | Val Loss: 1.927699 | Best: 1.910627 | ES: 1/10
[2025-12-14 16:26:01]   Epoch 3/10000000000000000000 | Device: cuda | Val Loss: 1.891683 | Best: 1.891683 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:26:10]   Epoch 4/10000000000000000000 | Device: cuda | Val Loss: 1.887304 | Best: 1.887304 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:26:18]   Epoch 5/10000000000000000000 | Device: cuda | Val Loss: 1.888830 | Best: 1.887304 | ES: 1/10
[2025-12-14 16:26:25]   Epoch 6/10000000000000000000 | Device: cuda | Val Loss: 1.889530 | Best: 1.887304 | ES: 2/10
[2025-12-14 16:26:35]   Epoch 7/10000000000000000000 | Device: cuda | Val Loss: 1.886265 | Best: 1.886265 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:26:45]   Epoch 8/10000000000000000000 | Device: cuda | Val Loss: 1.887021 | Best: 1.886265 | ES: 1/10
[2025-12-14 16:26:54]   Epoch 9/10000000000000000000 | Device: cuda | Val Loss: 1.887491 | Best: 1.886265 | ES: 2/10
[2025-12-14 16:27:03]   Epoch 10/10000000000000000000 | Device: cuda | Val Loss: 1.901678 | Best: 1.886265 | ES: 3/10
[2025-12-14 16:27:13]   Epoch 11/10000000000000000000 | Device: cuda | Val Loss: 1.887494 | Best: 1.886265 | ES: 4/10
[2025-12-14 16:27:23]   Epoch 12/10000000000000000000 | Device: cuda | Val Loss: 1.898023 | Best: 1.886265 | ES: 5/10
[2025-12-14 16:27:33]   Epoch 13/10000000000000000000 | Device: cuda | Val Loss: 1.887928 | Best: 1.886265 | ES: 6/10
[2025-12-14 16:27:43]   Epoch 14/10000000000000000000 | Device: cuda | Val Loss: 1.886373 | Best: 1.886265 | ES: 7/10
[2025-12-14 16:27:53]   Epoch 15/10000000000000000000 | Device: cuda | Val Loss: 1.885334 | Best: 1.885334 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:28:04]   Epoch 16/10000000000000000000 | Device: cuda | Val Loss: 1.887805 | Best: 1.885334 | ES: 1/10
[2025-12-14 16:28:14]   Epoch 17/10000000000000000000 | Device: cuda | Val Loss: 1.912161 | Best: 1.885334 | ES: 2/10
[2025-12-14 16:28:24]   Epoch 18/10000000000000000000 | Device: cuda | Val Loss: 1.889434 | Best: 1.885334 | ES: 3/10
[2025-12-14 16:28:33]   Epoch 19/10000000000000000000 | Device: cuda | Val Loss: 1.885459 | Best: 1.885334 | ES: 4/10
[2025-12-14 16:28:43]   Epoch 20/10000000000000000000 | Device: cuda | Val Loss: 1.894068 | Best: 1.885334 | ES: 5/10
[2025-12-14 16:28:52]   Epoch 21/10000000000000000000 | Device: cuda | Val Loss: 1.893751 | Best: 1.885334 | ES: 6/10
[2025-12-14 16:29:02]   Epoch 22/10000000000000000000 | Device: cuda | Val Loss: 1.885789 | Best: 1.885334 | ES: 7/10
[2025-12-14 16:29:13]   Epoch 23/10000000000000000000 | Device: cuda | Val Loss: 1.883575 | Best: 1.883575 | ES: 0/10 ✓ NEW BEST
[2025-12-14 16:29:21]   Epoch 24/10000000000000000000 | Device: cuda | Val Loss: 1.886930 | Best: 1.883575 | ES: 1/10
[2025-12-14 16:29:25]   Epoch 25/10000000000000000000 | Device: cuda | Val Loss: 1.884216 | Best: 1.883575 | ES: 2/10
[2025-12-14 16:29:29]   Epoch 26/10000000000000000000 | Device: cuda | Val Loss: 1.883844 | Best: 1.883575 | ES: 3/10
[2025-12-14 16:29:32]   Epoch 27/10000000000000000000 | Device: cuda | Val Loss: 1.884178 | Best: 1.883575 | ES: 4/10
[2025-12-14 16:29:36]   Epoch 28/10000000000000000000 | Device: cuda | Val Loss: 1.922601 | Best: 1.883575 | ES: 5/10
[2025-12-14 16:29:40]   Epoch 29/10000000000000000000 | Device: cuda | Val Loss: 1.901875 | Best: 1.883575 | ES: 6/10
[2025-12-14 16:29:45]   Epoch 30/10000000000000000000 | Device: cuda | Val Loss: 1.885989 | Best: 1.883575 | ES: 7/10
[2025-12-14 16:29:49]   Epoch 31/10000000000000000000 | Device: cuda | Val Loss: 1.902175 | Best: 1.883575 | ES: 8/10
