task,phase,candidate_index,candidate_dir,architecture,best_val,best_epoch,final_epoch,best_checkpoint,last_checkpoint,improved_over_global,search_phase,width_fail,depth_fail
autoencoding,ae_width_to_depth,27,cand_027_d2_w29,"[29, 29]",0.3040188158360269,27,32,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_027_d2_w29/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_027_d2_w29/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,28,cand_028_d2_w30,"[30, 30]",0.28402594686358795,29,34,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_028_d2_w30/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_028_d2_w30/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,29,cand_029_d2_w31,"[31, 31]",0.26228067605553435,26,31,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_029_d2_w31/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_029_d2_w31/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,30,cand_030_d2_w32,"[32, 32]",0.24044508099806283,22,27,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_030_d2_w32/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_030_d2_w32/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,31,cand_031_d2_w33,"[33, 33]",0.21511498092143164,23,28,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_031_d2_w33/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_031_d2_w33/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,32,cand_032_d2_w34,"[34, 34]",0.19642909433868952,31,36,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_032_d2_w34/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_032_d2_w34/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,33,cand_033_d2_w35,"[35, 35]",0.17535196143436657,42,47,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_033_d2_w35/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_033_d2_w35/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,35,cand_035_d2_w37,"[37, 37]",0.13751053740564975,42,47,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_035_d2_w37/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_035_d2_w37/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,36,cand_036_d2_w38,"[38, 38]",0.11809840338322175,59,64,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_036_d2_w38/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_036_d2_w38/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,37,cand_037_d2_w39,"[39, 39]",0.09797581624894258,47,52,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_037_d2_w39/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_037_d2_w39/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,38,cand_038_d2_w40,"[40, 40]",0.08254930690951409,34,39,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_038_d2_w40/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_038_d2_w40/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,39,cand_039_d2_w41,"[41, 41]",0.07107359445003143,29,34,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_039_d2_w41/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_039_d2_w41/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,40,cand_040_d2_w42,"[42, 42]",0.05615747312530066,36,41,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_040_d2_w42/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_040_d2_w42/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,41,cand_041_d2_w43,"[43, 43]",0.04478509475550246,33,38,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_041_d2_w43/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_041_d2_w43/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,42,cand_042_d2_w44,"[44, 44]",0.04013407123300989,24,29,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_042_d2_w44/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_042_d2_w44/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,43,cand_043_d2_w45,"[45, 45]",0.034273792480058414,32,37,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_043_d2_w45/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_043_d2_w45/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,44,cand_044_d2_w46,"[46, 46]",0.034114729902556186,7,12,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_044_d2_w46/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_044_d2_w46/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,45,cand_045_d2_w47,"[47, 47]",0.031885066950749094,18,23,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_045_d2_w47/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_045_d2_w47/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,46,cand_046_d2_w48,"[48, 48]",0.02049693116879319,89,94,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_046_d2_w48/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_046_d2_w48/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,47,cand_047_d2_w49,"[49, 49]",0.01997817253746162,18,23,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_047_d2_w49/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_047_d2_w49/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,48,cand_048_d2_w50,"[50, 50]",0.01029724961315694,59,64,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_048_d2_w50/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_048_d2_w50/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,49,cand_049_d2_w51,"[51, 51]",0.01048103845038137,5,10,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_049_d2_w51/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_049_d2_w51/checkpoint_last.pt,False,width,1,0
autoencoding,ae_width_to_depth,50,cand_050_d2_w52,"[52, 52]",0.0100804155731121,10,15,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_050_d2_w52/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_050_d2_w52/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,51,cand_051_d2_w53,"[53, 53]",0.00982311740373352,8,13,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_051_d2_w53/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_051_d2_w53/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,52,cand_052_d2_w54,"[54, 54]",0.006788161368130621,43,48,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_052_d2_w54/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_052_d2_w54/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,53,cand_053_d2_w55,"[55, 55]",0.006716544301658974,11,16,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_053_d2_w55/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_053_d2_w55/checkpoint_last.pt,False,width,1,0
autoencoding,ae_width_to_depth,54,cand_054_d2_w56,"[56, 56]",0.006606821923247029,8,13,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_054_d2_w56/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_054_d2_w56/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,55,cand_055_d2_w57,"[57, 57]",0.006319392860857193,13,18,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_055_d2_w57/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_055_d2_w57/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,56,cand_056_d2_w58,"[58, 58]",0.006218672398821719,8,13,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_056_d2_w58/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_056_d2_w58/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,57,cand_057_d2_w59,"[59, 59]",0.006066021710172329,5,10,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_057_d2_w59/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_057_d2_w59/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,58,cand_058_d2_w60,"[60, 60]",0.0058237595474892635,13,18,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_058_d2_w60/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_058_d2_w60/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,59,cand_059_d2_w61,"[61, 61]",0.005875787680653152,8,13,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_059_d2_w61/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_059_d2_w61/checkpoint_last.pt,False,width,1,0
autoencoding,ae_width_to_depth,60,cand_060_d2_w62,"[62, 62]",0.00568586711919529,9,14,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_060_d2_w62/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_060_d2_w62/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,61,cand_061_d2_w63,"[63, 63]",0.005311597837323541,13,18,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_061_d2_w63/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_061_d2_w63/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,62,cand_062_d2_w64,"[64, 64]",0.004970504258387294,10,15,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_062_d2_w64/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_062_d2_w64/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,63,cand_063_d2_w65,"[65, 65]",0.004853803052716933,11,16,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_063_d2_w65/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_063_d2_w65/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,64,cand_064_d2_w66,"[66, 66]",0.004533755324069045,14,19,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_064_d2_w66/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_064_d2_w66/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,65,cand_065_d2_w67,"[67, 67]",0.004227031579419114,10,15,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_065_d2_w67/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_065_d2_w67/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,66,cand_066_d2_w68,"[68, 68]",0.0040720200203342456,11,16,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_066_d2_w68/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_066_d2_w68/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,67,cand_067_d2_w69,"[69, 69]",0.003971198646610121,8,13,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_067_d2_w69/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_067_d2_w69/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,68,cand_068_d2_w70,"[70, 70]",0.003741850879755237,10,15,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_068_d2_w70/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_068_d2_w70/checkpoint_last.pt,True,width,0,0
autoencoding,ae_width_to_depth,69,cand_069_d2_w71,"[71, 71]",0.0036922099075300855,8,13,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_069_d2_w71/checkpoint_best.pt,DAE/DNN/results/goliath_w2d_20260516/autoencoding/ae_width_to_depth/cand_069_d2_w71/checkpoint_last.pt,False,width,1,0
