[2026-05-18 05:32:28] Initialized ContinuousLogger for representation_ae_alt_depth (Mode: ae_alt_depth)
[2026-05-18 05:32:28] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_depth/cand_000_d1_w1/training_log.txt
[2026-05-18 05:32:28] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_depth/cand_000_d1_w1/training_stats.csv
[2026-05-18 05:32:28] [CANDIDATE] task=representation phase=ae_alt_depth index=0 search_phase=depth architecture=[1]
[2026-05-18 05:36:19] [representation][ae_alt_depth][cand_000_d1_w1] epoch=86 architecture=[1] train_loss=1.106754 val_loss=1.108646 best=1.108646 es=0/5
[2026-05-18 05:36:21] [representation][ae_alt_depth][cand_000_d1_w1] epoch=87 architecture=[1] train_loss=1.105515 val_loss=1.107519 best=1.107519 es=0/5
[2026-05-18 05:36:23] [representation][ae_alt_depth][cand_000_d1_w1] epoch=88 architecture=[1] train_loss=1.104332 val_loss=1.106377 best=1.106377 es=0/5
[2026-05-18 05:36:26] [representation][ae_alt_depth][cand_000_d1_w1] epoch=89 architecture=[1] train_loss=1.103181 val_loss=1.105381 best=1.105381 es=0/5
[2026-05-18 05:36:29] [representation][ae_alt_depth][cand_000_d1_w1] epoch=90 architecture=[1] train_loss=1.102049 val_loss=1.104104 best=1.104104 es=0/5
[2026-05-18 05:36:31] [representation][ae_alt_depth][cand_000_d1_w1] epoch=91 architecture=[1] train_loss=1.100944 val_loss=1.103119 best=1.103119 es=0/5
[2026-05-18 05:36:33] [representation][ae_alt_depth][cand_000_d1_w1] epoch=92 architecture=[1] train_loss=1.099899 val_loss=1.102055 best=1.102055 es=0/5
[2026-05-18 05:36:35] [representation][ae_alt_depth][cand_000_d1_w1] epoch=93 architecture=[1] train_loss=1.098873 val_loss=1.100971 best=1.100971 es=0/5
[2026-05-18 05:36:38] [representation][ae_alt_depth][cand_000_d1_w1] epoch=94 architecture=[1] train_loss=1.097888 val_loss=1.100177 best=1.100177 es=0/5
[2026-05-18 05:36:41] [representation][ae_alt_depth][cand_000_d1_w1] epoch=95 architecture=[1] train_loss=1.096891 val_loss=1.099026 best=1.099026 es=0/5
[2026-05-18 05:36:43] [representation][ae_alt_depth][cand_000_d1_w1] epoch=96 architecture=[1] train_loss=1.095940 val_loss=1.098144 best=1.098144 es=0/5
[2026-05-18 05:36:45] [representation][ae_alt_depth][cand_000_d1_w1] epoch=97 architecture=[1] train_loss=1.095021 val_loss=1.097152 best=1.097152 es=0/5
[2026-05-18 05:36:48] [representation][ae_alt_depth][cand_000_d1_w1] epoch=98 architecture=[1] train_loss=1.094090 val_loss=1.096380 best=1.096380 es=0/5
[2026-05-18 05:36:50] [representation][ae_alt_depth][cand_000_d1_w1] epoch=99 architecture=[1] train_loss=1.093217 val_loss=1.095578 best=1.095578 es=0/5
[2026-05-18 05:36:53] [representation][ae_alt_depth][cand_000_d1_w1] epoch=100 architecture=[1] train_loss=1.092322 val_loss=1.094580 best=1.094580 es=0/5
[2026-05-18 05:36:56] [representation][ae_alt_depth][cand_000_d1_w1] epoch=101 architecture=[1] train_loss=1.091492 val_loss=1.093798 best=1.093798 es=0/5
[2026-05-18 05:36:58] [representation][ae_alt_depth][cand_000_d1_w1] epoch=102 architecture=[1] train_loss=1.090652 val_loss=1.093015 best=1.093015 es=0/5
[2026-05-18 05:37:00] [representation][ae_alt_depth][cand_000_d1_w1] epoch=103 architecture=[1] train_loss=1.089784 val_loss=1.092108 best=1.092108 es=0/5
[2026-05-18 05:37:03] [representation][ae_alt_depth][cand_000_d1_w1] epoch=104 architecture=[1] train_loss=1.088674 val_loss=1.090390 best=1.090390 es=0/5
[2026-05-18 05:37:06] [representation][ae_alt_depth][cand_000_d1_w1] epoch=105 architecture=[1] train_loss=1.082216 val_loss=1.066311 best=1.066311 es=0/5
[2026-05-18 05:37:08] [representation][ae_alt_depth][cand_000_d1_w1] epoch=106 architecture=[1] train_loss=1.040630 val_loss=1.024278 best=1.024278 es=0/5
[2026-05-18 05:37:11] [representation][ae_alt_depth][cand_000_d1_w1] epoch=107 architecture=[1] train_loss=1.021366 val_loss=1.019903 best=1.019903 es=0/5
[2026-05-18 05:37:13] [representation][ae_alt_depth][cand_000_d1_w1] epoch=108 architecture=[1] train_loss=1.017117 val_loss=1.017612 best=1.017612 es=0/5
[2026-05-18 05:37:15] [representation][ae_alt_depth][cand_000_d1_w1] epoch=109 architecture=[1] train_loss=1.014523 val_loss=1.015856 best=1.015856 es=0/5
[2026-05-18 05:37:18] [representation][ae_alt_depth][cand_000_d1_w1] epoch=110 architecture=[1] train_loss=1.012922 val_loss=1.014671 best=1.014671 es=0/5
[2026-05-18 05:37:21] [representation][ae_alt_depth][cand_000_d1_w1] epoch=111 architecture=[1] train_loss=1.011753 val_loss=1.013525 best=1.013525 es=0/5
[2026-05-18 05:37:23] [representation][ae_alt_depth][cand_000_d1_w1] epoch=112 architecture=[1] train_loss=1.010787 val_loss=1.012615 best=1.012615 es=0/5
[2026-05-18 05:37:25] [representation][ae_alt_depth][cand_000_d1_w1] epoch=113 architecture=[1] train_loss=1.009887 val_loss=1.011752 best=1.011752 es=0/5
[2026-05-18 05:37:28] [representation][ae_alt_depth][cand_000_d1_w1] epoch=114 architecture=[1] train_loss=1.009091 val_loss=1.010960 best=1.010960 es=0/5
[2026-05-18 05:37:31] [representation][ae_alt_depth][cand_000_d1_w1] epoch=115 architecture=[1] train_loss=1.008344 val_loss=1.010231 best=1.010231 es=0/5
[2026-05-18 05:37:33] [representation][ae_alt_depth][cand_000_d1_w1] epoch=116 architecture=[1] train_loss=1.007625 val_loss=1.009558 best=1.009558 es=0/5
[2026-05-18 05:37:36] [representation][ae_alt_depth][cand_000_d1_w1] epoch=117 architecture=[1] train_loss=1.006952 val_loss=1.008929 best=1.008929 es=0/5
[2026-05-18 05:37:38] [representation][ae_alt_depth][cand_000_d1_w1] epoch=118 architecture=[1] train_loss=1.006301 val_loss=1.008376 best=1.008376 es=0/5
[2026-05-18 05:37:41] [representation][ae_alt_depth][cand_000_d1_w1] epoch=119 architecture=[1] train_loss=1.005686 val_loss=1.007876 best=1.007876 es=0/5
[2026-05-18 05:37:44] [representation][ae_alt_depth][cand_000_d1_w1] epoch=120 architecture=[1] train_loss=1.005123 val_loss=1.007219 best=1.007219 es=0/5
[2026-05-18 05:37:46] [representation][ae_alt_depth][cand_000_d1_w1] epoch=121 architecture=[1] train_loss=1.004558 val_loss=1.006639 best=1.006639 es=0/5
[2026-05-18 05:37:48] [representation][ae_alt_depth][cand_000_d1_w1] epoch=122 architecture=[1] train_loss=1.004021 val_loss=1.006125 best=1.006125 es=0/5
[2026-05-18 05:37:51] [representation][ae_alt_depth][cand_000_d1_w1] epoch=123 architecture=[1] train_loss=1.003496 val_loss=1.005620 best=1.005620 es=0/5
[2026-05-18 05:37:53] [representation][ae_alt_depth][cand_000_d1_w1] epoch=124 architecture=[1] train_loss=1.002999 val_loss=1.005163 best=1.005163 es=0/5
[2026-05-18 05:37:56] [representation][ae_alt_depth][cand_000_d1_w1] epoch=125 architecture=[1] train_loss=1.002521 val_loss=1.004779 best=1.004779 es=0/5
[2026-05-18 05:37:58] [representation][ae_alt_depth][cand_000_d1_w1] epoch=126 architecture=[1] train_loss=1.002067 val_loss=1.004283 best=1.004283 es=0/5
[2026-05-18 05:38:01] [representation][ae_alt_depth][cand_000_d1_w1] epoch=127 architecture=[1] train_loss=1.001616 val_loss=1.003920 best=1.003920 es=0/5
[2026-05-18 05:38:03] [representation][ae_alt_depth][cand_000_d1_w1] epoch=128 architecture=[1] train_loss=1.001195 val_loss=1.003432 best=1.003432 es=0/5
[2026-05-18 05:38:05] [representation][ae_alt_depth][cand_000_d1_w1] epoch=129 architecture=[1] train_loss=1.000763 val_loss=1.003107 best=1.003107 es=0/5
[2026-05-18 05:38:08] [representation][ae_alt_depth][cand_000_d1_w1] epoch=130 architecture=[1] train_loss=1.000374 val_loss=1.002730 best=1.002730 es=0/5
[2026-05-18 05:38:11] [representation][ae_alt_depth][cand_000_d1_w1] epoch=131 architecture=[1] train_loss=0.999979 val_loss=1.002325 best=1.002325 es=0/5
[2026-05-18 05:38:13] [representation][ae_alt_depth][cand_000_d1_w1] epoch=132 architecture=[1] train_loss=0.999589 val_loss=1.002001 best=1.002001 es=0/5
[2026-05-18 05:38:15] [representation][ae_alt_depth][cand_000_d1_w1] epoch=133 architecture=[1] train_loss=0.999233 val_loss=1.001610 best=1.001610 es=0/5
[2026-05-18 05:38:18] [representation][ae_alt_depth][cand_000_d1_w1] epoch=134 architecture=[1] train_loss=0.998899 val_loss=1.001310 best=1.001310 es=0/5
[2026-05-18 05:38:21] [representation][ae_alt_depth][cand_000_d1_w1] epoch=135 architecture=[1] train_loss=0.998557 val_loss=1.000899 best=1.000899 es=0/5
[2026-05-18 05:38:23] [representation][ae_alt_depth][cand_000_d1_w1] epoch=136 architecture=[1] train_loss=0.998232 val_loss=1.000580 best=1.000580 es=0/5
[2026-05-18 05:38:26] [representation][ae_alt_depth][cand_000_d1_w1] epoch=137 architecture=[1] train_loss=0.997869 val_loss=1.000276 best=1.000276 es=0/5
