[2025-12-15 20:18:27] Initialized ContinuousLogger for adp_resnet (Mode: width_only)
[2025-12-15 20:18:27] Logs: results_adp_resnet_cifar10_class5_exk1_w1d2_trials5_patience10\training_log.txt
[2025-12-15 20:18:27] CSV: results_adp_resnet_cifar10_class5_exk1_w1d2_trials5_patience10\training_stats.csv
[2025-12-15 20:18:27] [INITIAL TRAINING]
[2025-12-15 21:36:04]   Epoch 049/10000000000000000000 | train=1.1005 | val=1.0600 | best=1.0562 | ES=2/10
[2025-12-15 21:37:05]   Epoch 050/10000000000000000000 | train=1.0941 | val=1.0500 | best=1.0500 | ES=0/10
[2025-12-15 21:38:01]   Epoch 051/10000000000000000000 | train=1.0887 | val=1.0619 | best=1.0500 | ES=1/10
[2025-12-15 21:38:55]   Epoch 052/10000000000000000000 | train=1.0876 | val=1.0575 | best=1.0500 | ES=2/10
[2025-12-15 21:39:53]   Epoch 053/10000000000000000000 | train=1.0887 | val=1.0613 | best=1.0500 | ES=3/10
[2025-12-15 21:40:46]   Epoch 054/10000000000000000000 | train=1.0871 | val=1.0440 | best=1.0440 | ES=0/10
[2025-12-15 21:41:40]   Epoch 055/10000000000000000000 | train=1.0839 | val=1.0436 | best=1.0436 | ES=0/10
[2025-12-15 21:42:37]   Epoch 056/10000000000000000000 | train=1.0841 | val=1.0536 | best=1.0436 | ES=1/10
[2025-12-15 21:43:31]   Epoch 057/10000000000000000000 | train=1.0814 | val=1.0452 | best=1.0436 | ES=2/10
[2025-12-15 21:44:24]   Epoch 058/10000000000000000000 | train=1.0782 | val=1.0766 | best=1.0436 | ES=3/10
[2025-12-15 21:45:19]   Epoch 059/10000000000000000000 | train=1.0765 | val=1.0852 | best=1.0436 | ES=4/10
[2025-12-15 21:46:14]   Epoch 060/10000000000000000000 | train=1.0779 | val=1.0419 | best=1.0419 | ES=0/10
[2025-12-15 21:47:05]   Epoch 061/10000000000000000000 | train=1.0726 | val=1.0882 | best=1.0419 | ES=1/10
[2025-12-15 21:47:56]   Epoch 062/10000000000000000000 | train=1.0735 | val=1.0566 | best=1.0419 | ES=2/10
[2025-12-15 21:48:46]   Epoch 063/10000000000000000000 | train=1.0670 | val=1.0288 | best=1.0288 | ES=0/10
