2025-12-16 08:11:12 - INFO - ======== [Run 1/6] width=1 depth=2 ========
2025-12-16 08:11:12 - INFO - Device=cuda | dataset=cifar10 | batch=512 | max_epochs=10000000000000000000 | patience=10 | lr=1.00e-03 | wd=5.0e-04 | cutmix_p=0.00
2025-12-16 08:11:12 - INFO - Model params=798 | neurons=3
2025-12-16 08:17:46 - INFO - [epoch 31/10000000000000000000] train_loss=1.1404 | val_loss=1.1284 | val_acc=0.5180 | best_val=1.1284@31 | bad=0/10 | dt=13.7s
2025-12-16 08:17:59 - INFO - [epoch 32/10000000000000000000] train_loss=1.1348 | val_loss=1.1170 | val_acc=0.5256 | best_val=1.1170@32 | bad=0/10 | dt=13.2s
2025-12-16 08:18:12 - INFO - [epoch 33/10000000000000000000] train_loss=1.1317 | val_loss=1.1193 | val_acc=0.5264 | best_val=1.1170@32 | bad=1/10 | dt=13.2s
2025-12-16 08:18:25 - INFO - [epoch 34/10000000000000000000] train_loss=1.1313 | val_loss=1.0925 | val_acc=0.5456 | best_val=1.0925@34 | bad=0/10 | dt=13.0s
2025-12-16 08:18:38 - INFO - [epoch 35/10000000000000000000] train_loss=1.1249 | val_loss=1.1538 | val_acc=0.5032 | best_val=1.0925@34 | bad=1/10 | dt=13.0s
2025-12-16 08:18:51 - INFO - [epoch 36/10000000000000000000] train_loss=1.1226 | val_loss=1.2027 | val_acc=0.4928 | best_val=1.0925@34 | bad=2/10 | dt=13.0s
2025-12-16 08:19:05 - INFO - [epoch 37/10000000000000000000] train_loss=1.1160 | val_loss=1.1500 | val_acc=0.4964 | best_val=1.0925@34 | bad=3/10 | dt=13.1s
2025-12-16 08:19:18 - INFO - [epoch 38/10000000000000000000] train_loss=1.1143 | val_loss=1.1109 | val_acc=0.5192 | best_val=1.0925@34 | bad=4/10 | dt=13.2s
2025-12-16 08:19:31 - INFO - [epoch 39/10000000000000000000] train_loss=1.1164 | val_loss=1.1372 | val_acc=0.5124 | best_val=1.0925@34 | bad=5/10 | dt=12.9s
2025-12-16 08:19:44 - INFO - [epoch 40/10000000000000000000] train_loss=1.1099 | val_loss=1.1073 | val_acc=0.5360 | best_val=1.0925@34 | bad=6/10 | dt=13.2s
2025-12-16 08:19:57 - INFO - [epoch 41/10000000000000000000] train_loss=1.1105 | val_loss=1.1295 | val_acc=0.5188 | best_val=1.0925@34 | bad=7/10 | dt=13.0s
2025-12-16 08:20:10 - INFO - [epoch 42/10000000000000000000] train_loss=1.1080 | val_loss=1.0779 | val_acc=0.5384 | best_val=1.0779@42 | bad=0/10 | dt=13.3s
2025-12-16 08:20:23 - INFO - [epoch 43/10000000000000000000] train_loss=1.1066 | val_loss=1.0947 | val_acc=0.5340 | best_val=1.0779@42 | bad=1/10 | dt=12.8s
2025-12-16 08:20:36 - INFO - [epoch 44/10000000000000000000] train_loss=1.1033 | val_loss=1.0911 | val_acc=0.5272 | best_val=1.0779@42 | bad=2/10 | dt=13.0s
2025-12-16 08:20:49 - INFO - [epoch 45/10000000000000000000] train_loss=1.1024 | val_loss=1.0728 | val_acc=0.5556 | best_val=1.0728@45 | bad=0/10 | dt=13.1s
2025-12-16 08:21:02 - INFO - [epoch 46/10000000000000000000] train_loss=1.1065 | val_loss=1.0678 | val_acc=0.5500 | best_val=1.0678@46 | bad=0/10 | dt=13.2s
2025-12-16 08:21:15 - INFO - [epoch 47/10000000000000000000] train_loss=1.1024 | val_loss=1.1095 | val_acc=0.5248 | best_val=1.0678@46 | bad=1/10 | dt=13.0s
2025-12-16 08:21:28 - INFO - [epoch 48/10000000000000000000] train_loss=1.0988 | val_loss=1.1294 | val_acc=0.5300 | best_val=1.0678@46 | bad=2/10 | dt=13.0s
2025-12-16 08:21:41 - INFO - [epoch 49/10000000000000000000] train_loss=1.1020 | val_loss=1.0758 | val_acc=0.5432 | best_val=1.0678@46 | bad=3/10 | dt=13.0s
2025-12-16 08:21:54 - INFO - [epoch 50/10000000000000000000] train_loss=1.0973 | val_loss=1.1008 | val_acc=0.5260 | best_val=1.0678@46 | bad=4/10 | dt=13.1s
2025-12-16 08:22:07 - INFO - [epoch 51/10000000000000000000] train_loss=1.0960 | val_loss=1.1076 | val_acc=0.5268 | best_val=1.0678@46 | bad=5/10 | dt=13.0s
2025-12-16 08:22:21 - INFO - [epoch 52/10000000000000000000] train_loss=1.0956 | val_loss=1.0669 | val_acc=0.5464 | best_val=1.0669@52 | bad=0/10 | dt=13.2s
2025-12-16 08:22:34 - INFO - [epoch 53/10000000000000000000] train_loss=1.0902 | val_loss=1.0649 | val_acc=0.5528 | best_val=1.0649@53 | bad=0/10 | dt=13.1s
2025-12-16 08:22:48 - INFO - [epoch 54/10000000000000000000] train_loss=1.0914 | val_loss=1.0752 | val_acc=0.5272 | best_val=1.0649@53 | bad=1/10 | dt=13.8s
2025-12-16 08:23:01 - INFO - [epoch 55/10000000000000000000] train_loss=1.0857 | val_loss=1.0606 | val_acc=0.5484 | best_val=1.0606@55 | bad=0/10 | dt=13.0s
2025-12-16 08:23:14 - INFO - [epoch 56/10000000000000000000] train_loss=1.0924 | val_loss=1.0859 | val_acc=0.5292 | best_val=1.0606@55 | bad=1/10 | dt=13.1s
2025-12-16 08:23:27 - INFO - [epoch 57/10000000000000000000] train_loss=1.0899 | val_loss=1.1196 | val_acc=0.5164 | best_val=1.0606@55 | bad=2/10 | dt=13.1s
2025-12-16 08:23:41 - INFO - [epoch 58/10000000000000000000] train_loss=1.0841 | val_loss=1.0754 | val_acc=0.5372 | best_val=1.0606@55 | bad=3/10 | dt=14.4s
2025-12-16 08:23:54 - INFO - [epoch 59/10000000000000000000] train_loss=1.0857 | val_loss=1.0740 | val_acc=0.5448 | best_val=1.0606@55 | bad=4/10 | dt=13.3s
2025-12-16 08:24:07 - INFO - [epoch 60/10000000000000000000] train_loss=1.0894 | val_loss=1.0788 | val_acc=0.5380 | best_val=1.0606@55 | bad=5/10 | dt=12.8s
2025-12-16 08:24:21 - INFO - [epoch 61/10000000000000000000] train_loss=1.0823 | val_loss=1.0707 | val_acc=0.5404 | best_val=1.0606@55 | bad=6/10 | dt=13.3s
2025-12-16 08:24:33 - INFO - [epoch 62/10000000000000000000] train_loss=1.0855 | val_loss=1.1043 | val_acc=0.5236 | best_val=1.0606@55 | bad=7/10 | dt=12.9s
2025-12-16 08:24:46 - INFO - [epoch 63/10000000000000000000] train_loss=1.0821 | val_loss=1.0601 | val_acc=0.5424 | best_val=1.0601@63 | bad=0/10 | dt=13.0s
2025-12-16 08:24:59 - INFO - [epoch 64/10000000000000000000] train_loss=1.0826 | val_loss=1.0964 | val_acc=0.5304 | best_val=1.0601@63 | bad=1/10 | dt=12.8s
2025-12-16 08:25:12 - INFO - [epoch 65/10000000000000000000] train_loss=1.0825 | val_loss=1.0693 | val_acc=0.5296 | best_val=1.0601@63 | bad=2/10 | dt=13.0s
2025-12-16 08:25:25 - INFO - [epoch 66/10000000000000000000] train_loss=1.0828 | val_loss=1.0751 | val_acc=0.5444 | best_val=1.0601@63 | bad=3/10 | dt=13.0s
2025-12-16 08:25:38 - INFO - [epoch 67/10000000000000000000] train_loss=1.0783 | val_loss=1.0778 | val_acc=0.5380 | best_val=1.0601@63 | bad=4/10 | dt=13.2s
2025-12-16 08:25:52 - INFO - [epoch 68/10000000000000000000] train_loss=1.0780 | val_loss=1.1060 | val_acc=0.5380 | best_val=1.0601@63 | bad=5/10 | dt=13.2s
2025-12-16 08:26:05 - INFO - [epoch 69/10000000000000000000] train_loss=1.0786 | val_loss=1.0786 | val_acc=0.5456 | best_val=1.0601@63 | bad=6/10 | dt=13.1s
2025-12-16 08:26:18 - INFO - [epoch 70/10000000000000000000] train_loss=1.0759 | val_loss=1.0905 | val_acc=0.5296 | best_val=1.0601@63 | bad=7/10 | dt=13.3s
2025-12-16 08:26:31 - INFO - [epoch 71/10000000000000000000] train_loss=1.0797 | val_loss=1.0913 | val_acc=0.5376 | best_val=1.0601@63 | bad=8/10 | dt=13.1s
2025-12-16 08:26:44 - INFO - [epoch 72/10000000000000000000] train_loss=1.0764 | val_loss=1.0576 | val_acc=0.5500 | best_val=1.0576@72 | bad=0/10 | dt=13.1s
2025-12-16 08:26:57 - INFO - [epoch 73/10000000000000000000] train_loss=1.0733 | val_loss=1.0615 | val_acc=0.5524 | best_val=1.0576@72 | bad=1/10 | dt=13.1s
2025-12-16 08:27:11 - INFO - [epoch 74/10000000000000000000] train_loss=1.0718 | val_loss=1.0663 | val_acc=0.5404 | best_val=1.0576@72 | bad=2/10 | dt=13.3s
2025-12-16 08:27:24 - INFO - [epoch 75/10000000000000000000] train_loss=1.0701 | val_loss=1.0479 | val_acc=0.5596 | best_val=1.0479@75 | bad=0/10 | dt=12.9s
2025-12-16 08:27:37 - INFO - [epoch 76/10000000000000000000] train_loss=1.0735 | val_loss=1.0636 | val_acc=0.5500 | best_val=1.0479@75 | bad=1/10 | dt=13.3s
2025-12-16 08:27:50 - INFO - [epoch 77/10000000000000000000] train_loss=1.0693 | val_loss=1.0769 | val_acc=0.5456 | best_val=1.0479@75 | bad=2/10 | dt=13.4s
2025-12-16 08:28:03 - INFO - [epoch 78/10000000000000000000] train_loss=1.0685 | val_loss=1.0540 | val_acc=0.5652 | best_val=1.0479@75 | bad=3/10 | dt=13.1s
2025-12-16 08:28:16 - INFO - [epoch 79/10000000000000000000] train_loss=1.0733 | val_loss=1.0659 | val_acc=0.5436 | best_val=1.0479@75 | bad=4/10 | dt=13.1s
2025-12-16 08:28:30 - INFO - [epoch 80/10000000000000000000] train_loss=1.0681 | val_loss=1.0581 | val_acc=0.5520 | best_val=1.0479@75 | bad=5/10 | dt=13.2s
2025-12-16 08:28:42 - INFO - [epoch 81/10000000000000000000] train_loss=1.0639 | val_loss=1.0809 | val_acc=0.5340 | best_val=1.0479@75 | bad=6/10 | dt=12.8s
2025-12-16 08:28:56 - INFO - [epoch 82/10000000000000000000] train_loss=1.0637 | val_loss=1.1067 | val_acc=0.5388 | best_val=1.0479@75 | bad=7/10 | dt=13.4s
2025-12-16 08:29:09 - INFO - [epoch 83/10000000000000000000] train_loss=1.0626 | val_loss=1.0569 | val_acc=0.5520 | best_val=1.0479@75 | bad=8/10 | dt=13.0s
2025-12-16 08:29:22 - INFO - [epoch 84/10000000000000000000] train_loss=1.0624 | val_loss=1.1008 | val_acc=0.5392 | best_val=1.0479@75 | bad=9/10 | dt=13.0s
2025-12-16 08:29:34 - INFO - [epoch 85/10000000000000000000] train_loss=1.0642 | val_loss=1.0483 | val_acc=0.5568 | best_val=1.0479@75 | bad=10/10 | dt=12.7s
2025-12-16 08:29:34 - INFO - Early stopping: no improvement for 10 epochs (best=1.0479 @ epoch 75)
2025-12-16 08:29:35 - INFO - Val-as-test: loss=1.0483 acc=0.5568
2025-12-16 08:29:35 - INFO - ======== [End Run 1/6] width=1 depth=2 | best_val=1.0479 | test_acc=0.5568 ========

