timestamp,model,mode,epoch,width,depth,train_loss,val_loss,task,phase,candidate_dir,neurons,best_val,best_epoch,es_counter,improved,train_acc,val_acc,throughput,auroc
2026-06-20 17:26:41,anomaly_stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,75,192,8,0.5096773505210876,0.531352698802948,anomaly,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,cand_000_d8_w192,1590,0.531352698802948,75,0,True,,,,0.6354830163019956
2026-06-20 17:26:50,anomaly_stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,76,192,8,0.5065757036209106,0.5220940709114075,anomaly,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,cand_000_d8_w192,1590,0.5220940709114075,76,0,True,,,,
2026-06-20 17:26:58,anomaly_stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,77,192,8,0.49745529890060425,0.518457293510437,anomaly,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,cand_000_d8_w192,1590,0.518457293510437,77,0,True,,,,
2026-06-20 17:27:10,anomaly_stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,78,192,8,0.4938727617263794,0.5089074969291687,anomaly,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,cand_000_d8_w192,1590,0.5089074969291687,78,0,True,,,,
2026-06-20 17:27:20,anomaly_stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,79,192,8,0.4844067096710205,0.5033164620399475,anomaly,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,cand_000_d8_w192,1590,0.5033164620399475,79,0,True,,,,
2026-06-20 17:27:32,anomaly_stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,80,192,8,0.47887375950813293,0.49402743577957153,anomaly,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,cand_000_d8_w192,1590,0.49402743577957153,80,0,True,,,,0.6438969900288136
2026-06-20 17:27:43,anomaly_stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,81,192,8,0.4697400629520416,0.4862942695617676,anomaly,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,cand_000_d8_w192,1590,0.4862942695617676,81,0,True,,,,
2026-06-20 18:57:02,anomaly_stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,82,192,8,0.6925004124641418,0.4895365536212921,anomaly,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,cand_000_d8_w192,1590,0.4862942695617676,81,1,False,,,
2026-06-20 18:57:06,anomaly_stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,83,192,8,0.46554335951805115,0.48798006772994995,anomaly,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,cand_000_d8_w192,1590,0.4862942695617676,81,2,False,,,
2026-06-20 18:57:10,anomaly_stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,84,192,8,0.4639562666416168,0.47740232944488525,anomaly,stl_ablation_r02_d08_w0192_192_192_192_192_192_192_192_192,cand_000_d8_w192,1590,0.47740232944488525,84,0,True,,,
