[2026-05-20 14:21:19] Initialized ContinuousLogger for autoencoding_ae_depth_to_width (Mode: ae_depth_to_width)
[2026-05-20 14:21:19] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_000_d1_w1/training_log.txt
[2026-05-20 14:21:19] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_000_d1_w1/training_stats.csv
[2026-05-20 14:21:19] [CANDIDATE] task=autoencoding phase=ae_depth_to_width index=0 search_phase=depth architecture=[1]
[2026-05-20 14:26:22] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=111 architecture=[1] train_loss=0.966064 val_loss=0.974016 best=0.974016 es=0/5
[2026-05-20 14:26:24] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=112 architecture=[1] train_loss=0.965408 val_loss=0.973361 best=0.973361 es=0/5
[2026-05-20 14:26:27] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=113 architecture=[1] train_loss=0.964742 val_loss=0.972704 best=0.972704 es=0/5
[2026-05-20 14:26:30] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=114 architecture=[1] train_loss=0.964079 val_loss=0.972045 best=0.972045 es=0/5
[2026-05-20 14:26:33] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=115 architecture=[1] train_loss=0.963416 val_loss=0.971386 best=0.971386 es=0/5
[2026-05-20 14:26:35] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=116 architecture=[1] train_loss=0.962751 val_loss=0.970725 best=0.970725 es=0/5
[2026-05-20 14:26:38] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=117 architecture=[1] train_loss=0.962086 val_loss=0.970069 best=0.970069 es=0/5
[2026-05-20 14:26:41] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=118 architecture=[1] train_loss=0.961424 val_loss=0.969410 best=0.969410 es=0/5
[2026-05-20 14:26:43] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=119 architecture=[1] train_loss=0.960758 val_loss=0.968754 best=0.968754 es=0/5
[2026-05-20 14:26:46] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=120 architecture=[1] train_loss=0.960101 val_loss=0.968102 best=0.968102 es=0/5
