,Model Name,Case Name,Time Taken,Total_Neurons,Train Samples,Test Samples,Mean MSE,Mean Gap Objective %,Max_Max Real Power Residual,Max_Mean Real Power Residual,Mean_Max Real Power Residual,Mean_Mean Real Power Residual ,Max_Max Reactive Power Residual,Max_Mean Reactive Power Residual,Mean_Max Reactive Power Residual,Mean_Mean Reactive Power Residual ,Max_Max Inequality PG,Max_Mean Inequality PG,Mean_Max Inequality PG,Mean_Mean Inequality PG,Max_Max Inequality QG,Max_Mean Inequality QG,Mean_Max Inequality QG,Mean_Mean Inequality QG,Max_Max Inequality VM,Max_Mean Inequality VM,Mean_Max Inequality VM,Mean_Mean Inequality VM
136,STL,pglib_opf_case14_ieee,8.22s,28,1000,1500,0.0005164319882169,2.394541025161743,0.4563135504722595,0.1895182877779007,0.1677224785089492,0.0635494962334632,0.4563135504722595,0.2046457380056381,0.1677224785089492,0.0696045756340026,0.0106014162302017,0.0048774355091154,0.003734202357009,0.0015621689381077,0.0048936605453491,0.0009787321323528,0.0006699274526908,0.0001339854788966,0.0726923942565918,0.030056145042181,0.0131740560755133,0.0034734874498099
137,STL,pglib_opf_case14_ieee,6.00s,56,1000,1500,0.0004857696476392,2.4108285903930664,0.7571240663528442,0.1643269211053848,0.1821299493312835,0.059624083340168,0.7571240663528442,0.2015017420053482,0.1821299493312835,0.0846676975488662,0.016028955578804,0.0055447565391659,0.0055704712867736,0.0020593642257153,0.0035956501960754,0.000719130039215,0.0004768280196003,9.536560537526384e-05,0.0629754066467285,0.0341656133532524,0.0110701015219092,0.0034247969742864
138,STL,pglib_opf_case14_ieee,5.33s,112,1000,1500,0.0006005845498293,2.661412477493286,0.5331193208694458,0.1524162292480468,0.2159578800201416,0.0585849806666374,0.5331193208694458,0.1404976397752761,0.2159578800201416,0.0593290999531745,0.0110179632902145,0.0051759993657469,0.0039770696312189,0.001585800317116,0.0256445705890655,0.0051289140246808,0.0036034304648637,0.0007206860464066,0.0828825235366821,0.0462808087468147,0.01436772570014,0.004952656570822
139,STL,pglib_opf_case14_ieee,4.56s,224,1000,1500,0.0006170379929244,2.15673565864563,0.7095381021499634,0.2368954867124557,0.3564518094062805,0.1377942562103271,0.7095381021499634,0.1712893396615982,0.3564518094062805,0.1207180395722389,0.0078532621264457,0.0042970068752765,0.0034156173933297,0.0015481350710615,0.0362964272499084,0.0072592855431139,0.0134596405550837,0.0026919278316199,0.0800311565399169,0.046667244285345,0.0160723272711038,0.0060604917816817
140,STL,pglib_opf_case14_ieee,4.01s,448,1000,1500,0.0006167681422084,2.054718494415283,0.2806227803230285,0.1323792487382888,0.2272815555334091,0.0799660086631774,0.2806227803230285,0.0959078222513198,0.2272815555334091,0.0502601638436317,0.0094963312149047,0.00397305842489,0.0040679178200662,0.0015205952804535,0.0338284969329834,0.0067656994797289,0.0080308560281991,0.0016061710193753,0.0755300521850586,0.0479428172111511,0.0130006615072488,0.0054666479118168
141,STL,pglib_opf_case14_ieee,10.06s,6,1500,1500,0.0004814612329937,2.5063862800598145,0.983397662639618,0.5095978379249573,0.3942415714263916,0.1713409572839737,0.983397662639618,0.3515432775020599,0.3942415714263916,0.1446118801832199,0.0051349103450775,0.0021963729523122,0.001464223023504,0.0005721758934669,0.0143446326255798,0.0028689266182482,0.002192567102611,0.0004385134088806,0.0986444950103759,0.0228337217122316,0.0145282614976167,0.0025764557067304
142,STL,pglib_opf_case14_ieee,9.51s,14,1500,1500,0.0004301674198359,2.505867481231689,0.4676238298416137,0.3089390397071838,0.3257202208042145,0.095882199704647,0.4676238298416137,0.1945801228284835,0.3257202208042145,0.0627483651041984,0.0123017132282257,0.0076316809281706,0.0039629279635846,0.0022357199341058,0.0160198509693145,0.0032039701472967,0.0024398961104452,0.0004879792395513,0.0650041103363037,0.0268164966255426,0.0101891001686453,0.0025559326168149
143,STL,pglib_opf_case14_ieee,8.35s,28,1500,1500,0.0005151547957211,2.762542724609375,0.4332638382911682,0.2913143336772918,0.3281792998313904,0.0969718024134635,0.4332638382911682,0.1589578539133072,0.3281792998313904,0.0531585440039634,0.0108912140130996,0.0046818316914141,0.003512805327773,0.0014984746230766,0.0210204720497131,0.0042040944099426,0.0031448828522115,0.0006289766170084,0.0627030134201049,0.0334161259233951,0.0100948940962553,0.0032781944610178
144,STL,pglib_opf_case14_ieee,5.46s,56,1500,1500,0.0004789429367519,2.391939401626587,0.6087335348129272,0.1508243083953857,0.1764173656702041,0.0575542300939559,0.6087335348129272,0.1784949600696563,0.1764173656702041,0.0676138401031494,0.0161630883812904,0.0055987336672842,0.0055570928379893,0.0020614604000002,0.0035609304904937,0.0007121860980987,0.00046707331785,9.341466648038475e-05,0.0625448226928711,0.0342945381999015,0.0108151193708181,0.0033954712562263
145,STL,pglib_opf_case14_ieee,4.37s,112,1500,1500,0.0005652919062413,2.2677249908447266,0.907315194606781,0.1316393762826919,0.1739822775125503,0.0491917841136455,0.907315194606781,0.2086745500564575,0.1739822775125503,0.0975260287523269,0.0077088624238967,0.0037078498862683,0.0031715254299342,0.0014212478417903,0.0191896557807922,0.0038379312027245,0.0023931062314659,0.0004786212812177,0.0774433612823486,0.0460429117083549,0.014676253311336,0.0044223722070455
