[2026-05-19 18:25:06] Initialized ContinuousLogger for autoencoding_ae_alt_depth (Mode: ae_alt_depth)
[2026-05-19 18:25:06] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_depth/cand_000_d1_w1/training_log.txt
[2026-05-19 18:25:06] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_alt_depth/cand_000_d1_w1/training_stats.csv
[2026-05-19 18:25:06] [CANDIDATE] task=autoencoding phase=ae_alt_depth index=0 search_phase=depth architecture=[1]
[2026-05-19 18:29:36] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=105 architecture=[1] train_loss=0.966595 val_loss=0.974483 best=0.974483 es=0/5
[2026-05-19 18:29:38] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=106 architecture=[1] train_loss=0.965980 val_loss=0.973881 best=0.973881 es=0/5
[2026-05-19 18:29:40] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=107 architecture=[1] train_loss=0.965363 val_loss=0.973281 best=0.973281 es=0/5
[2026-05-19 18:29:42] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=108 architecture=[1] train_loss=0.964746 val_loss=0.972673 best=0.972673 es=0/5
[2026-05-19 18:29:45] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=109 architecture=[1] train_loss=0.964124 val_loss=0.972063 best=0.972063 es=0/5
[2026-05-19 18:29:47] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=110 architecture=[1] train_loss=0.963498 val_loss=0.971453 best=0.971453 es=0/5
[2026-05-19 18:29:49] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=111 architecture=[1] train_loss=0.962876 val_loss=0.970845 best=0.970845 es=0/5
[2026-05-19 18:29:52] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=112 architecture=[1] train_loss=0.962254 val_loss=0.970242 best=0.970242 es=0/5
[2026-05-19 18:29:54] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=113 architecture=[1] train_loss=0.961635 val_loss=0.969635 best=0.969635 es=0/5
[2026-05-19 18:29:56] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=114 architecture=[1] train_loss=0.961017 val_loss=0.969037 best=0.969037 es=0/5
[2026-05-19 18:29:59] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=115 architecture=[1] train_loss=0.960408 val_loss=0.968442 best=0.968442 es=0/5
[2026-05-19 18:30:01] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=116 architecture=[1] train_loss=0.959805 val_loss=0.967854 best=0.967854 es=0/5
[2026-05-19 18:30:03] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=117 architecture=[1] train_loss=0.959203 val_loss=0.967271 best=0.967271 es=0/5
[2026-05-19 18:30:05] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=118 architecture=[1] train_loss=0.958613 val_loss=0.966697 best=0.966697 es=0/5
[2026-05-19 18:30:08] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=119 architecture=[1] train_loss=0.958031 val_loss=0.966131 best=0.966131 es=0/5
[2026-05-19 18:30:10] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=120 architecture=[1] train_loss=0.957456 val_loss=0.965575 best=0.965575 es=0/5
[2026-05-19 18:30:12] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=121 architecture=[1] train_loss=0.956891 val_loss=0.965025 best=0.965025 es=0/5
[2026-05-19 18:30:14] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=122 architecture=[1] train_loss=0.956338 val_loss=0.964488 best=0.964488 es=0/5
[2026-05-19 18:30:17] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=123 architecture=[1] train_loss=0.955798 val_loss=0.963960 best=0.963960 es=0/5
[2026-05-19 18:30:19] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=124 architecture=[1] train_loss=0.955251 val_loss=0.963355 best=0.963355 es=0/5
[2026-05-19 18:30:21] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=125 architecture=[1] train_loss=0.954557 val_loss=0.962646 best=0.962646 es=0/5
[2026-05-19 18:30:24] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=126 architecture=[1] train_loss=0.953973 val_loss=0.962143 best=0.962143 es=0/5
[2026-05-19 18:30:26] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=127 architecture=[1] train_loss=0.953455 val_loss=0.961643 best=0.961643 es=0/5
[2026-05-19 18:30:28] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=128 architecture=[1] train_loss=0.952960 val_loss=0.961162 best=0.961162 es=0/5
[2026-05-19 18:30:30] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=129 architecture=[1] train_loss=0.952480 val_loss=0.960698 best=0.960698 es=0/5
[2026-05-19 18:30:32] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=130 architecture=[1] train_loss=0.952014 val_loss=0.960244 best=0.960244 es=0/5
[2026-05-19 18:30:35] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=131 architecture=[1] train_loss=0.951563 val_loss=0.959805 best=0.959805 es=0/5
[2026-05-19 18:30:37] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=132 architecture=[1] train_loss=0.951126 val_loss=0.959381 best=0.959381 es=0/5
[2026-05-19 18:30:39] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=133 architecture=[1] train_loss=0.950707 val_loss=0.958971 best=0.958971 es=0/5
[2026-05-19 18:30:41] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=134 architecture=[1] train_loss=0.950298 val_loss=0.958577 best=0.958577 es=0/5
[2026-05-19 18:30:44] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=135 architecture=[1] train_loss=0.949904 val_loss=0.958197 best=0.958197 es=0/5
[2026-05-19 18:30:46] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=136 architecture=[1] train_loss=0.949524 val_loss=0.957828 best=0.957828 es=0/5
[2026-05-19 18:30:48] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=137 architecture=[1] train_loss=0.949162 val_loss=0.957475 best=0.957475 es=0/5
[2026-05-19 18:30:50] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=138 architecture=[1] train_loss=0.948813 val_loss=0.957137 best=0.957137 es=0/5
[2026-05-19 18:30:53] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=139 architecture=[1] train_loss=0.948475 val_loss=0.956809 best=0.956809 es=0/5
[2026-05-19 18:30:55] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=140 architecture=[1] train_loss=0.948155 val_loss=0.956496 best=0.956496 es=0/5
[2026-05-19 18:30:57] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=141 architecture=[1] train_loss=0.947844 val_loss=0.956196 best=0.956196 es=0/5
[2026-05-19 18:31:00] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=142 architecture=[1] train_loss=0.947548 val_loss=0.955909 best=0.955909 es=0/5
[2026-05-19 18:31:02] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=143 architecture=[1] train_loss=0.947265 val_loss=0.955634 best=0.955634 es=0/5
[2026-05-19 18:31:04] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=144 architecture=[1] train_loss=0.946995 val_loss=0.955371 best=0.955371 es=0/5
[2026-05-19 18:31:07] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=145 architecture=[1] train_loss=0.946735 val_loss=0.955120 best=0.955120 es=0/5
[2026-05-19 18:31:09] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=146 architecture=[1] train_loss=0.946493 val_loss=0.954882 best=0.954882 es=0/5
[2026-05-19 18:31:11] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=147 architecture=[1] train_loss=0.946257 val_loss=0.954655 best=0.954655 es=0/5
[2026-05-19 18:31:13] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=148 architecture=[1] train_loss=0.946034 val_loss=0.954442 best=0.954442 es=0/5
[2026-05-19 18:31:16] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=149 architecture=[1] train_loss=0.945821 val_loss=0.954234 best=0.954234 es=0/5
[2026-05-19 18:31:18] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=150 architecture=[1] train_loss=0.945620 val_loss=0.954037 best=0.954037 es=0/5
[2026-05-19 18:31:20] [autoencoding][ae_alt_depth][cand_000_d1_w1] epoch=151 architecture=[1] train_loss=0.945427 val_loss=0.953850 best=0.953850 es=0/5
