[2026-05-16 17:32:52] Initialized ContinuousLogger for representation_random (Mode: random)
[2026-05-16 17:36:03] [representation][random][cand_008_d3_w2] epoch=78 train_loss=0.914962 val_loss=0.922595 best=0.922595 es=0/5
[2026-05-16 17:36:06] [representation][random][cand_008_d3_w2] epoch=79 train_loss=0.914240 val_loss=0.921908 best=0.921908 es=0/5
[2026-05-16 17:36:08] [representation][random][cand_008_d3_w2] epoch=80 train_loss=0.913626 val_loss=0.921350 best=0.921350 es=0/5
[2026-05-16 17:36:11] [representation][random][cand_008_d3_w2] epoch=81 train_loss=0.912950 val_loss=0.920576 best=0.920576 es=0/5
[2026-05-16 17:36:13] [representation][random][cand_008_d3_w2] epoch=82 train_loss=0.912285 val_loss=0.919945 best=0.919945 es=0/5
[2026-05-16 17:36:15] [representation][random][cand_008_d3_w2] epoch=83 train_loss=0.911638 val_loss=0.919334 best=0.919334 es=0/5
[2026-05-16 17:36:18] [representation][random][cand_008_d3_w2] epoch=84 train_loss=0.911019 val_loss=0.918758 best=0.918758 es=0/5
[2026-05-16 17:36:20] [representation][random][cand_008_d3_w2] epoch=85 train_loss=0.910416 val_loss=0.918163 best=0.918163 es=0/5
[2026-05-16 17:36:23] [representation][random][cand_008_d3_w2] epoch=86 train_loss=0.909813 val_loss=0.917460 best=0.917460 es=0/5
[2026-05-16 17:36:26] [representation][random][cand_008_d3_w2] epoch=87 train_loss=0.909173 val_loss=0.916936 best=0.916936 es=0/5
[2026-05-16 17:36:28] [representation][random][cand_008_d3_w2] epoch=88 train_loss=0.908648 val_loss=0.916448 best=0.916448 es=0/5
[2026-05-16 17:36:30] [representation][random][cand_008_d3_w2] epoch=89 train_loss=0.908088 val_loss=0.915874 best=0.915874 es=0/5
[2026-05-16 17:36:33] [representation][random][cand_008_d3_w2] epoch=90 train_loss=0.907571 val_loss=0.915363 best=0.915363 es=0/5
[2026-05-16 17:36:36] [representation][random][cand_008_d3_w2] epoch=91 train_loss=0.907111 val_loss=0.914940 best=0.914940 es=0/5
[2026-05-16 17:36:38] [representation][random][cand_008_d3_w2] epoch=92 train_loss=0.906657 val_loss=0.914461 best=0.914461 es=0/5
[2026-05-16 17:36:40] [representation][random][cand_008_d3_w2] epoch=93 train_loss=0.906134 val_loss=0.913952 best=0.913952 es=0/5
[2026-05-16 17:36:43] [representation][random][cand_008_d3_w2] epoch=94 train_loss=0.905673 val_loss=0.913561 best=0.913561 es=0/5
[2026-05-16 17:36:45] [representation][random][cand_008_d3_w2] epoch=95 train_loss=0.905258 val_loss=0.913158 best=0.913158 es=0/5
[2026-05-16 17:36:48] [representation][random][cand_008_d3_w2] epoch=96 train_loss=0.904870 val_loss=0.912638 best=0.912638 es=0/5
[2026-05-16 17:36:50] [representation][random][cand_008_d3_w2] epoch=97 train_loss=0.904330 val_loss=0.912252 best=0.912252 es=0/5
[2026-05-16 17:36:52] [representation][random][cand_008_d3_w2] epoch=98 train_loss=0.903934 val_loss=0.911865 best=0.911865 es=0/5
[2026-05-16 17:36:55] [representation][random][cand_008_d3_w2] epoch=99 train_loss=0.903547 val_loss=0.911510 best=0.911510 es=0/5
[2026-05-16 17:36:57] [representation][random][cand_008_d3_w2] epoch=100 train_loss=0.903217 val_loss=0.911177 best=0.911177 es=0/5
[2026-05-16 17:37:00] [representation][random][cand_008_d3_w2] epoch=101 train_loss=0.902899 val_loss=0.910847 best=0.910847 es=0/5
[2026-05-16 17:37:02] [representation][random][cand_008_d3_w2] epoch=102 train_loss=0.902572 val_loss=0.910553 best=0.910553 es=0/5
[2026-05-16 17:37:05] [representation][random][cand_008_d3_w2] epoch=103 train_loss=0.902280 val_loss=0.910273 best=0.910273 es=0/5
[2026-05-16 17:37:07] [representation][random][cand_008_d3_w2] epoch=104 train_loss=0.901999 val_loss=0.909997 best=0.909997 es=0/5
[2026-05-16 17:37:10] [representation][random][cand_008_d3_w2] epoch=105 train_loss=0.901695 val_loss=0.909548 best=0.909548 es=0/5
[2026-05-16 17:37:12] [representation][random][cand_008_d3_w2] epoch=106 train_loss=0.901327 val_loss=0.909337 best=0.909337 es=0/5
[2026-05-16 17:37:15] [representation][random][cand_008_d3_w2] epoch=107 train_loss=0.901026 val_loss=0.909052 best=0.909052 es=0/5
[2026-05-16 17:37:17] [representation][random][cand_008_d3_w2] epoch=108 train_loss=0.900773 val_loss=0.908820 best=0.908820 es=0/5
[2026-05-16 17:37:19] [representation][random][cand_008_d3_w2] epoch=109 train_loss=0.900545 val_loss=0.908626 best=0.908626 es=0/5
[2026-05-16 17:37:22] [representation][random][cand_008_d3_w2] epoch=110 train_loss=0.900359 val_loss=0.908416 best=0.908416 es=0/5
[2026-05-16 17:37:24] [representation][random][cand_008_d3_w2] epoch=111 train_loss=0.900113 val_loss=0.908213 best=0.908213 es=0/5
[2026-05-16 17:37:27] [representation][random][cand_008_d3_w2] epoch=112 train_loss=0.899899 val_loss=0.908020 best=0.908020 es=0/5
[2026-05-16 17:37:29] [representation][random][cand_008_d3_w2] epoch=113 train_loss=0.899708 val_loss=0.907829 best=0.907829 es=0/5
[2026-05-16 17:37:32] [representation][random][cand_008_d3_w2] epoch=114 train_loss=0.899540 val_loss=0.907683 best=0.907683 es=0/5
